kwic,frequence,pourcentage
"remplir de fierté",159, 0.02323
"redonner de le fierté",70, 0.01023
"emplir de fierté",67, 0.00979
"avoir de le fierté",65, 0.00950
"éprouver de le fierté",58, 0.00847
"ressentir de le fierté",56, 0.00818
"gonfler de fierté",36, 0.00526
"donner de le fierté",34, 0.00497
"rayonner de fierté",31, 0.00453
"parler de fierté",31, 0.00453
"empreindre de fierté",30, 0.00438
"parler de le fierté",27, 0.00394
"marcher de fierté",25, 0.00365
"tirer de le fierté",24, 0.00351
"mêler de fierté",21, 0.00307
"combler de fierté",21, 0.00307
"être de le fierté",20, 0.00292
"retirer de le fierté",17, 0.00248
"témoigner de le fierté",15, 0.00219
"exprimer de le fierté",13, 0.00190
"avoir de fierté",13, 0.00190
"défiler de le fierté",12, 0.00175
"déborder de fierté",12, 0.00175
"rester de fierté",11, 0.00161
"teinter de fierté",10, 0.00146
"manquer de fierté",10, 0.00146
"apporter de le fierté",10, 0.00146
"voir de le fierté",9, 0.00131
"remplir de un fierté",9, 0.00131
"souvenir de le fierté",8, 0.00117
"rougir de fierté",8, 0.00117
"retrouver de le fierté",8, 0.00117
"procurer de le fierté",8, 0.00117
"parler de "" fierté",8, 0.00117
"être de un fierté",7, 0.00102
"témoigner de son fierté",7, 0.00102
"témoigner de leur fierté",7, 0.00102
"parler de son fierté",7, 0.00102
"inspirer de le fierté",7, 0.00102
"faire de le fierté",7, 0.00102
"faire de fierté",7, 0.00102
"dire de le fierté",7, 0.00102
"concevoir de le fierté",7, 0.00102
"briller de fierté",7, 0.00102
"être de fierté",6, 0.00088
"trouver de le fierté",6, 0.00088
"perdre de son fierté",6, 0.00088
"montrer de le fierté",6, 0.00088
"emplir de un fierté",6, 0.00088
"dénuer de fierté",6, 0.00088
"souvenir de son fierté",5, 0.00073
"pleurer de fierté",5, 0.00073
"exulter de fierté",5, 0.00073
"dépourvoir de fierté",5, 0.00073
"aller de le fierté",5, 0.00073
"agir de le fierté",5, 0.00073
"susciter de le fierté",4, 0.00058
"générer de le fierté",4, 0.00058
"créer de le fierté",4, 0.00058
"éclater de fierté",3, 0.00044
"tressaillir de fierté",3, 0.00044
"sentir de le fierté",3, 0.00044
"ressentir de fierté",3, 0.00044
"rengorger de fierté",3, 0.00044
"rabattre de son fierté",3, 0.00044
"qualifier de fierté",3, 0.00044
"prendre de fierté",3, 0.00044
"pouvoir de fierté",3, 0.00044
"nourrir de fierté",3, 0.00044
"mélanger de fierté",3, 0.00044
"manifester de le fierté",3, 0.00044
"illuminer de fierté",3, 0.00044
"hériter de le fierté",3, 0.00044
"garder de le fierté",3, 0.00044
"animer de un fierté",3, 0.00044
"afficher de fierté",3, 0.00044
"éprendre de fierté",2, 0.00029
"vibrer de fierté",2, 0.00029
"toucher de fierté",2, 0.00029
"tisser de fierté",2, 0.00029
"tirer de fierté",2, 0.00029
"scintiller de fierté",2, 0.00029
"réjouir de ce fierté",2, 0.00029
"rester de le fierté",2, 0.00029
"rendre de le fierté",2, 0.00029
"qualifier de "" fierté",2, 0.00029
"pétrir de fierté",2, 0.00029
"pétiller de fierté",2, 0.00029
"péter de fierté",2, 0.00029
"pénétrer de le fierté",2, 0.00029
"puiser de le fierté",2, 0.00029
"profiter de le fierté",2, 0.00029
"produire de le fierté",2, 0.00029
"priver de le fierté",2, 0.00029
"perdre de leur fierté",2, 0.00029
"passer de le fierté",2, 0.00029
"parler de un fierté",2, 0.00029
"parler de mon fierté",2, 0.00029
"parler de leur fierté",2, 0.00029
"parler de ce fierté",2, 0.00029
"mourir de fierté",2, 0.00029
"mitiger de fierté",2, 0.00029
"libérer de son fierté",2, 0.00029
"inonder de fierté",2, 0.00029
"imprégner de fierté",2, 0.00029
"imprégner de ce fierté",2, 0.00029
"faire de ce fierté",2, 0.00029
"exploser de fierté",2, 0.00029
"exister de le fierté",2, 0.00029
"envahir de fierté",2, 0.00029
"empreindre de ce fierté",2, 0.00029
"dégager de le fierté",2, 0.00029
"doter de un fierté",2, 0.00029
"charger de fierté",2, 0.00029
"bouffir de fierté",2, 0.00029
"bouffer de fierté",2, 0.00029
"avoir de autre fierté",2, 0.00029
"autoproclamer de le fierté",2, 0.00029
"attester de le fierté",2, 0.00029
"animer de le fierté",2, 0.00029
"animer de fierté",2, 0.00029
"aller de votre fierté",2, 0.00029
"aller de son fierté",2, 0.00029
"ajouter de le fierté",2, 0.00029
"accuser de fierté",2, 0.00029
"être de voir fierté",1, 0.00015
"être de porter fierté",1, 0.00015
"être de grant fierté",1, 0.00015
"être de ce fierté",1, 0.00015
"étinceler de un fierté",1, 0.00015
"ériger de son fierté",1, 0.00015
"éprouver de quelconque fierté",1, 0.00015
"éprouver de fierté",1, 0.00015
"émouvoir de le fierté",1, 0.00015
"émouvoir de ce fierté",1, 0.00015
"élargir de fierté",1, 0.00015
"venir de le fierté",1, 0.00015
"venger de le fierté",1, 0.00015
"valoir de le fierté",1, 0.00015
"user de son fierté",1, 0.00015
"témoigner de votre fierté",1, 0.00015
"témoigner de un fierté",1, 0.00015
"témoigner de notre fierté",1, 0.00015
"témoigner de mon fierté",1, 0.00015
"témoigner de fierté",1, 0.00015
"truffer de fierté",1, 0.00015
"trouver de fierté",1, 0.00015
"triompher de ce fierté",1, 0.00015
"teinter de un fierté",1, 0.00015
"teinter de son fierté",1, 0.00015
"targuer de trois fierté",1, 0.00015
"targuer de fierté",1, 0.00015
"séparer de le fierté",1, 0.00015
"surprendre de son fierté",1, 0.00015
"surprendre de le fierté",1, 0.00015
"suer de fierté",1, 0.00015
"statuer de le fierté",1, 0.00015
"souvenir de leur fierté",1, 0.00015
"sourire de fierté",1, 0.00015
"sortir de mon fierté",1, 0.00015
"serrer de fierté",1, 0.00015
"sembler de fierté",1, 0.00015
"secouer de fierté",1, 0.00015
"satisfaire de leur fierté",1, 0.00015
"sanctifier de tout fierté",1, 0.00015
"révolter de leur fierté",1, 0.00015
"résulter de le fierté",1, 0.00015
"réjouir de le fierté",1, 0.00015
"rugir de fierté",1, 0.00015
"rougir de mon fierté",1, 0.00015
"roucouler de fierté",1, 0.00015
"rosir de fierté",1, 0.00015
"ronronner de fierté",1, 0.00015
"rivaliser de fierté",1, 0.00015
"retrouver de son fierté",1, 0.00015
"retirer de grand fierté",1, 0.00015
"retentir de ce fierté",1, 0.00015
"rester de son fierté",1, 0.00015
"restaurer de fierté",1, 0.00015
"resplendir de fierté",1, 0.00015
"respirer de fierté",1, 0.00015
"resentir de le fierté",1, 0.00015
"représenter de le fierté",1, 0.00015
"reparler de son fierté",1, 0.00015
"renier de son fierté",1, 0.00015
"remplir de son fierté",1, 0.00015
"remplir de le fierté",1, 0.00015
"remarquer de le fierté",1, 0.00015
"relever de leur fierté",1, 0.00015
"rehausser de le fierté",1, 0.00015
"regagner de son fierté",1, 0.00015
"redoubler de fierté",1, 0.00015
"reconnaître de le fierté",1, 0.00015
"ravir de fierté",1, 0.00015
"rapprocher de le fierté",1, 0.00015
"rajouter de le fierté",1, 0.00015
"rabattre de leur fierté",1, 0.00015
"pétrir de un fierté",1, 0.00015
"périmer de fierté",1, 0.00015
"pénétrer de fierté",1, 0.00015
"pâmer de fierté",1, 0.00015
"purifier de tout fierté",1, 0.00015
"punir de leur fierté",1, 0.00015
"punir de le fierté",1, 0.00015
"puer de fierté",1, 0.00015
"préoccuper de son fierté",1, 0.00015
"préfigurer de fierté",1, 0.00015
"provenir de le fierté",1, 0.00015
"protéger de le fierté",1, 0.00015
"promener de autre fierté",1, 0.00015
"projeter de le fierté",1, 0.00015
"procedoit de fierté",1, 0.00015
"prendre de un fierté",1, 0.00015
"prendre de le fierté",1, 0.00015
"ponctuer de un fierté",1, 0.00015
"perdre de ton fierté",1, 0.00015
"percevoir de le fierté",1, 0.00015
"penser de le fierté",1, 0.00015
"passer de fierté",1, 0.00015
"passer de ce fierté",1, 0.00015
"partir de le fierté",1, 0.00015
"participer de ce fierté",1, 0.00015
"parsemer de fierté",1, 0.00015
"parler de votre fierté",1, 0.00015
"parer de fierté",1, 0.00015
"parader de fierté",1, 0.00015
"ouvrir de ce fierté",1, 0.00015
"oublier de le fierté",1, 0.00015
"oindre de un fierté",1, 0.00015
"occuper de votre fierté",1, 0.00015
"nécessiter de mettre fierté",1, 0.00015
"nuancer de un fierté",1, 0.00015
"nuancer de quelque fierté",1, 0.00015
"nourrir de un fierté",1, 0.00015
"nourrir de le fierté",1, 0.00015
"nimber de le fierté",1, 0.00015
"naître de un fierté",1, 0.00015
"naître de le fierté",1, 0.00015
"naître de ce fierté",1, 0.00015
