kwic,frequence,pourcentage
"couvrir de honte",785, 0.11467
"mourir de honte",492, 0.07187
"rougir de honte",413, 0.06033
"éprouver de le honte",146, 0.02133
"ressentir de le honte",130, 0.01899
"remplir de honte",99, 0.01446
"pleurer de honte",77, 0.01125
"avoir de le honte",55, 0.00803
"parler de honte",46, 0.00672
"avoir de honte",46, 0.00672
"prendre de honte",40, 0.00584
"pâlir de honte",34, 0.00497
"parler de le honte",33, 0.00482
"mêler de honte",31, 0.00453
"libérer de le honte",31, 0.00453
"accabler de honte",30, 0.00438
"qualifier de "" honte",29, 0.00424
"parler de "" honte",28, 0.00409
"être de le honte",27, 0.00394
"éprouver de honte",26, 0.00380
"emplir de honte",25, 0.00365
"cacher de honte",24, 0.00351
"sortir de le honte",22, 0.00321
"crever de honte",22, 0.00321
"saisir de honte",19, 0.00278
"trembler de honte",17, 0.00248
"suicider de honte",17, 0.00248
"sauver de le honte",16, 0.00234
"faire de honte",16, 0.00234
"charger de honte",16, 0.00234
"débarrasser de le honte",15, 0.00219
"cesser de avoir honte",14, 0.00205
"arriver de avoir honte",14, 0.00205
"être de honte",13, 0.00190
"teinter de honte",13, 0.00190
"pétrir de honte",13, 0.00190
"frémir de honte",13, 0.00190
"revêtir de honte",12, 0.00175
"laver de le honte",12, 0.00175
"être de avoir honte",11, 0.00161
"ressentir de honte",11, 0.00161
"passer de le honte",11, 0.00161
"mortifier de honte",11, 0.00161
"écraser de honte",10, 0.00146
"submerger de honte",10, 0.00146
"renaître de son honte",10, 0.00146
"pétrifier de honte",10, 0.00146
"dire de le honte",10, 0.00146
"opérer de le honte",9, 0.00131
"étouffer de honte",8, 0.00117
"vomir de honte",8, 0.00117
"souffrir de le honte",8, 0.00117
"frapper de honte",8, 0.00117
"entacher de honte",8, 0.00117
"empêcher de avoir honte",8, 0.00117
"couvrir de le honte",8, 0.00117
"affranchir de le honte",8, 0.00117
"tuer de honte",7, 0.00102
"hurler de honte",7, 0.00102
"couvrir de un honte",7, 0.00102
"causer de le honte",7, 0.00102
"souffrir de honte",6, 0.00088
"sangloter de honte",6, 0.00088
"refuser de avoir honte",6, 0.00088
"rassasier de honte",6, 0.00088
"périr de honte",6, 0.00088
"empourprer de honte",6, 0.00088
"agir de un honte",6, 0.00088
"voir de honte",5, 0.00073
"suivre de honte",5, 0.00073
"recevoir de le honte",5, 0.00073
"manifester de le honte",5, 0.00073
"inspirer de le honte",5, 0.00073
"guérir de le honte",5, 0.00073
"faire de le honte",5, 0.00073
"effondrer de honte",5, 0.00073
"dépourvoir de honte",5, 0.00073
"dire de honte",5, 0.00073
"boire de le honte",5, 0.00073
"arrêter de avoir honte",5, 0.00073
"ajouter de le honte",5, 0.00073
"accompagner de honte",5, 0.00073
"vivre de honte",4, 0.00058
"souiller de honte",4, 0.00058
"rougir de le honte",4, 0.00058
"relever de le honte",4, 0.00058
"pénétrer de honte",4, 0.00058
"pendre de honte",4, 0.00058
"parler de son honte",4, 0.00058
"mélanger de honte",4, 0.00058
"inquiéter de le honte",4, 0.00058
"générer de le honte",4, 0.00058
"frissonner de honte",4, 0.00058
"fondre de honte",4, 0.00058
"exaspérer de honte",4, 0.00058
"envahir de honte",4, 0.00058
"empreindre de honte",4, 0.00058
"délivrer de le honte",4, 0.00058
"donner de le honte",4, 0.00058
"dire de quel honte",4, 0.00058
"consumer de honte",4, 0.00058
"confondre de honte",4, 0.00058
"brûler de honte",4, 0.00058
"baisser de honte",4, 0.00058
"abreuver de honte",4, 0.00058
"être de un honte",3, 0.00044
"être de abord honte",3, 0.00044
"éviter de avoir honte",3, 0.00044
"écrouler de honte",3, 0.00044
"vivre de le honte",3, 0.00044
"toucher de le honte",3, 0.00044
"tomber de honte",3, 0.00044
"tacher de honte",3, 0.00044
"suivre de un honte",3, 0.00044
"sortir de ce honte",3, 0.00044
"résulter de le honte",3, 0.00044
"réjouir de son honte",3, 0.00044
"rougir de son honte",3, 0.00044
"rosir de honte",3, 0.00044
"ronger de honte",3, 0.00044
"remettre de le honte",3, 0.00044
"qualifier de honte",3, 0.00044
"protéger de le honte",3, 0.00044
"partager de honte",3, 0.00044
"palir de honte",3, 0.00044
"mourrir de honte",3, 0.00044
"marcher de le honte",3, 0.00044
"jouir de son honte",3, 0.00044
"issir de le honte",3, 0.00044
"inonder de honte",3, 0.00044
"garder de avoir honte",3, 0.00044
"fuir de honte",3, 0.00044
"figer de honte",3, 0.00044
"exprimer de le honte",3, 0.00044
"essayer de faire honte",3, 0.00044
"envelopper de leur honte",3, 0.00044
"entourer de honte",3, 0.00044
"enterrer de honte",3, 0.00044
"engendrer de le honte",3, 0.00044
"dépourvoir de tout honte",3, 0.00044
"dénuer de honte",3, 0.00044
"démissionner de honte",3, 0.00044
"défaire de le honte",3, 0.00044
"défaillir de honte",3, 0.00044
"couvrir de leur honte",3, 0.00044
"concevoir de le honte",3, 0.00044
"chialer de honte",3, 0.00044
"blêmir de honte",3, 0.00044
"avoir de fois honte",3, 0.00044
"avoir de abord honte",3, 0.00044
"agir de le honte",3, 0.00044
"être de faire honte",2, 0.00029
"éviter de faire honte",2, 0.00029
"éveiller de le honte",2, 0.00029
"évanouir de honte",2, 0.00029
"étrangler de honte",2, 0.00029
"éclabousser de honte",2, 0.00029
"vous-mêmecessez de avoir honte",2, 0.00029
"venir de honte",2, 0.00029
"transpirer de honte",2, 0.00029
"transir de honte",2, 0.00029
"toucher de ce honte",2, 0.00029
"torturer de honte",2, 0.00029
"tordre de honte",2, 0.00029
"terrer de honte",2, 0.00029
"terrasser de honte",2, 0.00029
"taxer de honte",2, 0.00029
"taire de honte",2, 0.00029
"suffoquer de honte",2, 0.00029
"suer de honte",2, 0.00029
"subir de honte",2, 0.00029
"souvenir de le honte",2, 0.00029
"sentir de honte",2, 0.00029
"sacrer de le honte",2, 0.00029
"rêver de honte",2, 0.00029
"réjouir de le honte",2, 0.00029
"rugir de honte",2, 0.00029
"risquer de avoir honte",2, 0.00029
"retourner de honte",2, 0.00029
"remplir de un honte",2, 0.00029
"provenir de le honte",2, 0.00029
"profiter de son honte",2, 0.00029
"prendre de un honte",2, 0.00029
"parler de un honte",2, 0.00029
"parler de mon honte",2, 0.00029
"pa de honte",2, 0.00029
"obliger de avoir honte",2, 0.00029
"nourrir de le honte",2, 0.00029
"naître de le honte",2, 0.00029
"morfondre de honte",2, 0.00029
"menacer de le honte",2, 0.00029
"masquer de honte",2, 0.00029
"marquer de un honte",2, 0.00029
"manquer de honte",2, 0.00029
"libérer de son honte",2, 0.00029
"laver de tout honte",2, 0.00029
"laver de son honte",2, 0.00029
"jeter de le honte",2, 0.00029
"hériter de le honte",2, 0.00029
"gémir de le honte",2, 0.00029
"gémir de honte",2, 0.00029
"gorger de honte",2, 0.00029
"gonfler de honte",2, 0.00029
"faire de avoir honte",2, 0.00029
"entâcher de honte",2, 0.00029
"enfuir de honte",2, 0.00029
"enflammer de honte",2, 0.00029
"endurer de honte",2, 0.00029
"dévorer de honte",2, 0.00029
"dépouiller de le honte",2, 0.00029
"dégouliner de honte",2, 0.00029
"défaire de ce honte",2, 0.00029
"décéder de honte",2, 0.00029
"découler de le honte",2, 0.00029
"doubler de un honte",2, 0.00029
"doubler de le honte",2, 0.00029
"doubler de honte",2, 0.00029
"distinguer de le honte",2, 0.00029
"continuer de faire honte",2, 0.00029
"colloquer de le honte",2, 0.00029
"cesser de faire honte",2, 0.00029
"avoir de sot honte",2, 0.00029
"avoir de avoir honte",2, 0.00029
"avoir de ailleurs honte",2, 0.00029
"assombrir de honte",2, 0.00029
"arrêter de le honte",2, 0.00029
"arrêter de faire honte",2, 0.00029
"aller de le honte",2, 0.00029
"agir de faire honte",2, 0.00029
"accuser de faire honte",2, 0.00029
"accompagner de le honte",2, 0.00029
"accabler de son honte",2, 0.00029
"ôter de le honte",1, 0.00015
"être de vrai honte",1, 0.00015
"être de tout honte",1, 0.00015
"être de toi honte",1, 0.00015
"être de rendre honte",1, 0.00015
"être de leur honte",1, 0.00015
"être de lab honte",1, 0.00015
"être de chinois honte",1, 0.00015
"être de ce honte",1, 0.00015
"être de "" honte",1, 0.00015
"évoquer de autre honte",1, 0.00015
"éperdre de honte",1, 0.00015
"élever de honte",1, 0.00015
"écraser de le honte",1, 0.00015
"échanger de le honte",1, 0.00015
"zapper de honte",1, 0.00015
"yeus de honte",1, 0.00015
"vêtir de notre honte",1, 0.00015
"vêtir de honte",1, 0.00015
"vomir de le honte",1, 0.00015
"voir de le honte",1, 0.00015
"vest de honte",1, 0.00015
"venir de le honte",1, 0.00015
"venger de le honte",1, 0.00015
"vaincre de le honte",1, 0.00015
"vaincre de honte",1, 0.00015
"vaciller de le honte",1, 0.00015
"ugi de honte",1, 0.00015
"témoigner de son honte",1, 0.00015
"témoigner de leur honte",1, 0.00015
"témoigner de le honte",1, 0.00015
"typer de honte",1, 0.00015
"tuer de vie honte",1, 0.00015
