kwic,frequence,pourcentage
"pâlir de jalousie",430, 0.06281
"être de le jalousie",151, 0.02206
"susciter de jalousie",146, 0.02133
"éprouver de le jalousie",90, 0.01315
"ressentir de le jalousie",82, 0.01198
"mourir de jalousie",80, 0.01169
"avoir de le jalousie",79, 0.01154
"crever de jalousie",76, 0.01110
"être de un jalousie",73, 0.01066
"créer de jalousie",73, 0.01066
"remplir de jalousie",56, 0.00818
"parler de jalousie",55, 0.00803
"prendre de jalousie",41, 0.00599
"dévorer de jalousie",38, 0.00555
"avoir de jalousie",38, 0.00555
"teinter de jalousie",35, 0.00511
"palir de jalousie",35, 0.00511
"baver de jalousie",35, 0.00511
"rougir de jalousie",31, 0.00453
"souffrir de jalousie",29, 0.00424
"provoquer de jalousie",29, 0.00424
"faire de jalousie",28, 0.00409
"susciter de le jalousie",26, 0.00380
"parler de le jalousie",26, 0.00380
"créer de le jalousie",24, 0.00351
"souffrir de le jalousie",22, 0.00321
"concevoir de le jalousie",21, 0.00307
"empreindre de jalousie",20, 0.00292
"donner de le jalousie",20, 0.00292
"éprouver de jalousie",17, 0.00248
"brûler de jalousie",16, 0.00234
"protéger de le jalousie",15, 0.00219
"attirer de jalousie",15, 0.00219
"venir de le jalousie",14, 0.00205
"faire de le jalousie",14, 0.00205
"agir de jalousie",14, 0.00205
"ressentir de jalousie",13, 0.00190
"souffrir de un jalousie",12, 0.00175
"naître de le jalousie",12, 0.00175
"montrer de le jalousie",12, 0.00175
"générer de jalousie",12, 0.00175
"sentir de le jalousie",11, 0.00161
"provenir de le jalousie",11, 0.00161
"consumer de jalousie",11, 0.00161
"traiter de le jalousie",10, 0.00146
"susciter de nombreux jalousie",10, 0.00146
"pleurer de jalousie",10, 0.00146
"parler de son jalousie",10, 0.00146
"montrer de un jalousie",10, 0.00146
"inspirer de le jalousie",10, 0.00146
"engendrer de le jalousie",10, 0.00146
"émouvoir de jalousie",9, 0.00131
"verdir de jalousie",9, 0.00131
"sortir de le jalousie",9, 0.00131
"prendre de un jalousie",9, 0.00131
"mêler de jalousie",9, 0.00131
"engendrer de jalousie",9, 0.00131
"débarrasser de le jalousie",9, 0.00131
"attiser de jalousie",9, 0.00131
"accuser de jalousie",9, 0.00131
"piquer de jalousie",8, 0.00117
"libérer de le jalousie",8, 0.00117
"garder de le jalousie",8, 0.00117
"exciter de jalousie",8, 0.00117
"enrager de jalousie",8, 0.00117
"enflammer de jalousie",8, 0.00117
"accompagner de jalousie",8, 0.00117
"être de jalousie",7, 0.00102
"éperdre de jalousie",7, 0.00102
"valoir de jalousie",7, 0.00102
"provoquer de le jalousie",7, 0.00102
"manifester de le jalousie",7, 0.00102
"guérir de le jalousie",7, 0.00102
"garnir de jalousie",7, 0.00102
"frémir de jalousie",7, 0.00102
"suivre de un jalousie",6, 0.00088
"ronger de jalousie",6, 0.00088
"pétrir de jalousie",6, 0.00088
"préserver de le jalousie",6, 0.00088
"parler de "" jalousie",6, 0.00088
"exister de jalousie",6, 0.00088
"entraîner de jalousie",6, 0.00088
"développer de le jalousie",6, 0.00088
"bouillonner de jalousie",6, 0.00088
"éveiller de jalousie",5, 0.00073
"étouffer de jalousie",5, 0.00073
"taxer de jalousie",5, 0.00073
"soulever de jalousie",5, 0.00073
"servir de le jalousie",5, 0.00073
"saliver de jalousie",5, 0.00073
"passer de le jalousie",5, 0.00073
"nourrir de jalousie",5, 0.00073
"emplir de jalousie",5, 0.00073
"déclencher de jalousie",5, 0.00073
"dire de le jalousie",5, 0.00073
"témoigner de le jalousie",4, 0.00058
"torturer de jalousie",4, 0.00058
"sécher de jalousie",4, 0.00058
"pâmer de jalousie",4, 0.00058
"naître de jalousie",4, 0.00058
"méfier de le jalousie",4, 0.00058
"former de jalousie",4, 0.00058
"fondre de jalousie",4, 0.00058
"exprimer de le jalousie",4, 0.00058
"empreindre de un jalousie",4, 0.00058
"dépourvoir de jalousie",4, 0.00058
"dénuer de jalousie",4, 0.00058
"déchirer de jalousie",4, 0.00058
"déborder de jalousie",4, 0.00058
"débarrasser de son jalousie",4, 0.00058
"devenir de un jalousie",4, 0.00058
"causer de le jalousie",4, 0.00058
"blêmir de jalousie",4, 0.00058
"atteindre de jalousie",4, 0.00058
"animer de un jalousie",4, 0.00058
"aller de le jalousie",4, 0.00058
"éveiller de le jalousie",3, 0.00044
"étrangler de jalousie",3, 0.00044
"équiper de jalousie",3, 0.00044
"vibrer de jalousie",3, 0.00044
"trembler de jalousie",3, 0.00044
"souffrir de son jalousie",3, 0.00044
"sauver de le jalousie",3, 0.00044
"révéler de un jalousie",3, 0.00044
"réveiller de jalousie",3, 0.00044
"résulter de le jalousie",3, 0.00044
"protéger de jalousie",3, 0.00044
"profiter de le jalousie",3, 0.00044
"poursuivre de son jalousie",3, 0.00044
"plaindre de le jalousie",3, 0.00044
"partir de le jalousie",3, 0.00044
"nourrir de le jalousie",3, 0.00044
"mêler de le jalousie",3, 0.00044
"munir de jalousie",3, 0.00044
"moquer de le jalousie",3, 0.00044
"générer de le jalousie",3, 0.00044
"entraîner de le jalousie",3, 0.00044
"dépourvoir de tout jalousie",3, 0.00044
"délivrer de le jalousie",3, 0.00044
"donner de jalousie",3, 0.00044
"bouillir de jalousie",3, 0.00044
"attirer de nombreux jalousie",3, 0.00044
"atteindre de un jalousie",3, 0.00044
"appeler de le jalousie",3, 0.00044
"animer de jalousie",3, 0.00044
"agir de le jalousie",3, 0.00044
"éviter de jalousie",2, 0.00029
"éprendre de jalousie",2, 0.00029
"éloigner de le jalousie",2, 0.00029
"éclater de jalousie",2, 0.00029
"voir de jalousie",2, 0.00029
"vivre de le jalousie",2, 0.00029
"valoir de nombreux jalousie",2, 0.00029
"valoir de le jalousie",2, 0.00029
"trépigner de jalousie",2, 0.00029
"transporter de jalousie",2, 0.00029
"torturer de son jalousie",2, 0.00029
"tisser de jalousie",2, 0.00029
"tenir de le jalousie",2, 0.00029
"susciter de grand jalousie",2, 0.00029
"susciter de fort jalousie",2, 0.00029
"suivre de le jalousie",2, 0.00029
"soupçonner de jalousie",2, 0.00029
"souffrir de ce jalousie",2, 0.00029
"sortir de ce jalousie",2, 0.00029
"solliciter de jalousie",2, 0.00029
"rêver de jalousie",2, 0.00029
"rosir de jalousie",2, 0.00029
"revêtir de jalousie",2, 0.00029
"retenir de le jalousie",2, 0.00029
"relever de le jalousie",2, 0.00029
"ravager de jalousie",2, 0.00029
"rapprocher de le jalousie",2, 0.00029
"raffiner de le jalousie",2, 0.00029
"qualifier de jalousie",2, 0.00029
"punir de son jalousie",2, 0.00029
"provenir de leur jalousie",2, 0.00029
"procéder de le jalousie",2, 0.00029
"poser de jalousie",2, 0.00029
"ponctuer de jalousie",2, 0.00029
"poindre de le jalousie",2, 0.00029
"percer de jalousie",2, 0.00029
"penser de le jalousie",2, 0.00029
"ouvrir de jalousie",2, 0.00029
"occasionner de le jalousie",2, 0.00029
"mélanger de jalousie",2, 0.00029
"mâtiner de jalousie",2, 0.00029
"morfondre de jalousie",2, 0.00029
"marrer de le jalousie",2, 0.00029
"libérer de son jalousie",2, 0.00029
"lasser de le jalousie",2, 0.00029
"jouer de ton jalousie",2, 0.00029
"hurler de jalousie",2, 0.00029
"garder de tout jalousie",2, 0.00029
"frapper de jalousie",2, 0.00029
"fermer de jalousie",2, 0.00029
"fatiguer de le jalousie",2, 0.00029
"fatiguer de jalousie",2, 0.00029
"faire de ton jalousie",2, 0.00029
"exploser de jalousie",2, 0.00029
"exister de le jalousie",2, 0.00029
"exempter de tout jalousie",2, 0.00029
"esmouvoient de jalousie",2, 0.00029
"environner de jalousie",2, 0.00029
"entrer de le jalousie",2, 0.00029
"entacher de jalousie",2, 0.00029
"emplir de un jalousie",2, 0.00029
"dégouliner de jalousie",2, 0.00029
"dégager de tout jalousie",2, 0.00029
"défendre de le jalousie",2, 0.00029
"déclencher de le jalousie",2, 0.00029
"dire de "" jalousie",2, 0.00029
"devenir de le jalousie",2, 0.00029
"créer de nombreux jalousie",2, 0.00029
"creer de le jalousie",2, 0.00029
"couvrir de le jalousie",2, 0.00029
"connaître de jalousie",2, 0.00029
"confire de jalousie",2, 0.00029
"compliquer de jalousie",2, 0.00029
"cacher de le jalousie",2, 0.00029
"boursoufler de jalousie",2, 0.00029
"bouder de jalousie",2, 0.00029
"apaiser de jalousie",2, 0.00029
"amuser de mon jalousie",2, 0.00029
"affranchir de le jalousie",2, 0.00029
"être de faux jalousie",1, 0.00015
"être de entretenir jalousie",1, 0.00015
"être de "" jalousie",1, 0.00015
"évoquer de jalousie",1, 0.00015
"éviter de inutile jalousie",1, 0.00015
"éveiller de multiple jalousie",1, 0.00015
"étouffer de un jalousie",1, 0.00015
"éteindre de jalousie",1, 0.00015
