kwic,frequence,pourcentage
"avoir de mépris",163, 0.02381
"être de mépris",135, 0.01972
"parler de mépris",79, 0.01154
"teinter de mépris",74, 0.01081
"témoigner de un mépris",64, 0.00935
"témoigner de mépris",63, 0.00920
"voir de mépris",52, 0.00760
"montrer de mépris",52, 0.00760
"charger de mépris",40, 0.00584
"couvrir de mépris",35, 0.00511
"faire de mépris",34, 0.00497
"relever de mépris",31, 0.00453
"être de un mépris",30, 0.00438
"mêler de mépris",29, 0.00424
"empreindre de mépris",28, 0.00409
"remplir de mépris",27, 0.00394
"souffrir de mépris",26, 0.00380
"éprouver de mépris",24, 0.00351
"manifester de mépris",24, 0.00351
"écraser de son mépris",20, 0.00292
"exprimer de mépris",19, 0.00278
"afficher de mépris",19, 0.00278
"doubler de un mépris",18, 0.00263
"accabler de son mépris",18, 0.00263
"inspirer de mépris",17, 0.00248
"accabler de mépris",17, 0.00248
"parler de "" mépris",16, 0.00234
"dire de mépris",16, 0.00234
"ressentir de mépris",15, 0.00219
"passer de mépris",14, 0.00205
"emplir de mépris",14, 0.00205
"accompagner de mépris",14, 0.00205
"écraser de leur mépris",13, 0.00190
"aller de mépris",13, 0.00190
"accuser de mépris",13, 0.00190
"étonner de mépris",12, 0.00175
"venger de mépris",12, 0.00175
"naître de mépris",12, 0.00175
"doubler de mépris",12, 0.00175
"accompagner de un mépris",12, 0.00175
"témoigner de son mépris",11, 0.00161
"agir de mépris",11, 0.00161
"écraser de mépris",10, 0.00146
"rassasier de mépris",10, 0.00146
"jeter de mépris",10, 0.00146
"tenir de mépris",9, 0.00131
"sortir de mépris",9, 0.00131
"sentir de mépris",9, 0.00131
"nourrir de mépris",9, 0.00131
"indigner de mépris",9, 0.00131
"concevoir de mépris",9, 0.00131
"agir de un mépris",9, 0.00131
"traiter de mépris",8, 0.00117
"qualifier de mépris",8, 0.00117
"plaindre de mépris",8, 0.00117
"marquer de mépris",8, 0.00117
"souvenir de mépris",7, 0.00102
"irriter de mépris",7, 0.00102
"dégouliner de mépris",7, 0.00102
"accuser de "" mépris",7, 0.00102
"venger de son mépris",6, 0.00088
"user de mépris",6, 0.00088
"résulter de mépris",6, 0.00088
"relever de un mépris",6, 0.00088
"choquer de mépris",6, 0.00088
"accabler de leur mépris",6, 0.00088
"toucher de mépris",5, 0.00073
"rire de mépris",5, 0.00073
"renifler de mépris",5, 0.00073
"payer de mépris",5, 0.00073
"appeler de mépris",5, 0.00073
"ajouter de mépris",5, 0.00073
"traduire de mépris",4, 0.00058
"tirer de mépris",4, 0.00058
"teinter de un mépris",4, 0.00058
"taxer de mépris",4, 0.00058
"susciter de mépris",4, 0.00058
"supposer de mépris",4, 0.00058
"sourire de mépris",4, 0.00058
"recevoir de mépris",4, 0.00058
"parler de ce mépris",4, 0.00058
"montrer de un mépris",4, 0.00058
"juger de mépris",4, 0.00058
"indigner de ce mépris",4, 0.00058
"fatiguer de mépris",4, 0.00058
"découler de mépris",4, 0.00058
"distiller de mépris",4, 0.00058
"couvrir de son mépris",4, 0.00058
"assortir de un mépris",4, 0.00058
"étonner de ce mépris",3, 0.00044
"valoir de mépris",3, 0.00044
"témoigner de leur mépris",3, 0.00044
"suinter de mépris",3, 0.00044
"stigmatiser de son mépris",3, 0.00044
"souffrir de un mépris",3, 0.00044
"répéter de mépris",3, 0.00044
"réjouir de mépris",3, 0.00044
"rendre de mépris",3, 0.00044
"relever de même mépris",3, 0.00044
"pétrir de mépris",3, 0.00044
"protéger de mépris",3, 0.00044
"procéder de mépris",3, 0.00044
"parler de un mépris",3, 0.00044
"mâtiner de mépris",3, 0.00044
"mourir de mépris",3, 0.00044
"marrer de mépris",3, 0.00044
"lire de mépris",3, 0.00044
"libérer de mépris",3, 0.00044
"irriter de ce mépris",3, 0.00044
"gorger de mépris",3, 0.00044
"garder de tout mépris",3, 0.00044
"frapper de mépris",3, 0.00044
"faire de un mépris",3, 0.00044
"essuyer de mépris",3, 0.00044
"entacher de mépris",3, 0.00044
"départir de mépris",3, 0.00044
"dénuer de mépris",3, 0.00044
"décharger de ce mépris",3, 0.00044
"déborder de mépris",3, 0.00044
"donner de mépris",3, 0.00044
"couvrir de votre mépris",3, 0.00044
"contenir de mépris",3, 0.00044
"consoler de mépris",3, 0.00044
"avoir de "" mépris",3, 0.00044
"apercevoir de mépris",3, 0.00044
"accabler de votre mépris",3, 0.00044
"être de ce mépris",2, 0.00029
"étendre de mépris",2, 0.00029
"écraser de votre mépris",2, 0.00029
"écraser de notre mépris",2, 0.00029
"écraser de mon mépris",2, 0.00029
"voir de "" mépris",2, 0.00029
"vivre de mépris",2, 0.00029
"venir de un mépris",2, 0.00029
"témoigner de ce mépris",2, 0.00029
"témoigner de aucun mépris",2, 0.00029
"tisser de mépris",2, 0.00029
"surprendre de mépris",2, 0.00029
"subir de mépris",2, 0.00029
"soupçonner de mépris",2, 0.00029
"soupirer de mépris",2, 0.00029
"signifier de mépris",2, 0.00029
"sauver de mépris",2, 0.00029
"saisir de mépris",2, 0.00029
"rêver de mépris",2, 0.00029
"révolter de mépris",2, 0.00029
"répondre de mépris",2, 0.00029
"récolter de mépris",2, 0.00029
"rivaliser de mépris",2, 0.00029
"rire de votre mépris",2, 0.00029
"retrouver de mépris",2, 0.00029
"reprocher de mépris",2, 0.00029
"rencontrer de mépris",2, 0.00029
"renaître de mépris",2, 0.00029
"remplir de un mépris",2, 0.00029
"qualifier de "" mépris",2, 0.00029
"préserver de mépris",2, 0.00029
"profiter de mépris",2, 0.00029
"professer de mépris",2, 0.00029
"produire de mépris",2, 0.00029
"procéder de un mépris",2, 0.00029
"presser de mépris",2, 0.00029
"poursuivre de son mépris",2, 0.00029
"poursuivre de mépris",2, 0.00029
"polir de mépris",2, 0.00029
"percevoir de mépris",2, 0.00029
"partir de mépris",2, 0.00029
"participer de mépris",2, 0.00029
"parler de son mépris",2, 0.00029
"offusquer de mépris",2, 0.00029
"mériter de mépris",2, 0.00029
"mépriser de un mépris",2, 0.00029
"mélanger de mépris",2, 0.00029
"lasser de mépris",2, 0.00029
"jouir de mépris",2, 0.00029
"inquiéter de mépris",2, 0.00029
"imprégner de mépris",2, 0.00029
"impliquer de mépris",2, 0.00029
"imbiber de mépris",2, 0.00029
"ignorer de son mépris",2, 0.00029
"harceler de mépris",2, 0.00029
"grimacer de mépris",2, 0.00029
"gonfler de mépris",2, 0.00029
"foudroyer de mépris",2, 0.00029
"former de mépris",2, 0.00029
"exprimer de "" mépris",2, 0.00029
"excéder de mépris",2, 0.00029
"exalter de ce mépris",2, 0.00029
"entourer de un mépris",2, 0.00029
"engendrer de mépris",2, 0.00029
"encourir de mépris",2, 0.00029
"emprunter de mépris",2, 0.00029
"empreindre de ce mépris",2, 0.00029
"empoisonner de mépris",2, 0.00029
"dénuer de tout mépris",2, 0.00029
"dénoter de un mépris",2, 0.00029
