kwic,frequence,pourcentage
"prendre de pitié",490, 0.07158
"avoir de le pitié",122, 0.01782
"éprouver de le pitié",118, 0.01724
"émouvoir de pitié",95, 0.01388
"ressentir de le pitié",80, 0.01169
"avoir de pitié",62, 0.00906
"inspirer de le pitié",56, 0.00818
"saisir de pitié",50, 0.00730
"toucher de pitié",34, 0.00497
"sourire de pitié",31, 0.00453
"remplir de pitié",30, 0.00438
"être de le pitié",26, 0.00380
"mêler de pitié",24, 0.00351
"rire de pitié",22, 0.00321
"emplir de pitié",22, 0.00321
"montrer de le pitié",19, 0.00278
"demander de avoir pitié",19, 0.00278
"dépourvoir de pitié",18, 0.00263
"pleurer de pitié",17, 0.00248
"dénuer de pitié",17, 0.00248
"supplier de avoir pitié",16, 0.00234
"faire de le pitié",11, 0.00161
"susciter de le pitié",10, 0.00146
"prendre de un pitié",10, 0.00146
"montrer de pitié",10, 0.00146
"manquer de pitié",10, 0.00146
"conjurer de avoir pitié",10, 0.00146
"éprouver de pitié",9, 0.00131
"parler de pitié",9, 0.00131
"empreindre de pitié",9, 0.00131
"choir de le pitié",9, 0.00131
"être de avoir pitié",8, 0.00117
"voir de le pitié",8, 0.00117
"cesser de avoir pitié",8, 0.00117
"ressentir de pitié",7, 0.00102
"prier de avoir pitié",7, 0.00102
"manifester de le pitié",7, 0.00102
"inspirer de pitié",7, 0.00102
"livrer de le pitié",6, 0.00088
"attendre de le pitié",6, 0.00088
"arrêter de avoir pitié",6, 0.00088
"venir de le pitié",5, 0.00073
"sentir de le pitié",5, 0.00073
"pénétrer de ce pitié",5, 0.00073
"profiter de le pitié",5, 0.00073
"parler de le pitié",5, 0.00073
"moquer de le pitié",5, 0.00073
"frémir de pitié",5, 0.00073
"exprimer de le pitié",5, 0.00073
"empêcher de avoir pitié",5, 0.00073
"déborder de pitié",5, 0.00073
"aller de le pitié",5, 0.00073
"être de pitié",4, 0.00058
"être de aucun pitié",4, 0.00058
"émouvoir de un pitié",4, 0.00058
"témoigner de le pitié",4, 0.00058
"trouver de pitié",4, 0.00058
"trouver de le pitié",4, 0.00058
"souvenir de avoir pitié",4, 0.00058
"provoquer de le pitié",4, 0.00058
"partir de le pitié",4, 0.00058
"oublier de avoir pitié",4, 0.00058
"naître de le pitié",4, 0.00058
"mouvoir de pitié",4, 0.00058
"implorer de avoir pitié",4, 0.00058
"dire de le pitié",4, 0.00058
"éprendre de pitié",3, 0.00044
"teinter de pitié",3, 0.00044
"saisir de un pitié",3, 0.00044
"saisir de ce pitié",3, 0.00044
"remonter de le pitié",3, 0.00044
"mériter de pitié",3, 0.00044
"lire de le pitié",3, 0.00044
"interdire de avoir pitié",3, 0.00044
"faire de pitié",3, 0.00044
"dépourvoir de tout pitié",3, 0.00044
"charger de pitié",3, 0.00044
"avoir de nouveau pitié",3, 0.00044
"avoir de abord pitié",3, 0.00044
"vouloir de le pitié",2, 0.00029
"venir de avoir pitié",2, 0.00029
"user de pitié",2, 0.00029
"susciter de pitié",2, 0.00029
"supplier de prendre pitié",2, 0.00029
"soulever de pitié",2, 0.00029
"souffrir de aucun pitié",2, 0.00029
"rester de pitié",2, 0.00029
"remuer de pitié",2, 0.00029
"quémander de le pitié",2, 0.00029
"pénétrer de pitié",2, 0.00029
"procéder de le pitié",2, 0.00029
"permettre de avoir pitié",2, 0.00029
"indigner de pitié",2, 0.00029
"imprégner de pitié",2, 0.00029
"implorer de le pitié",2, 0.00029
"générer de le pitié",2, 0.00029
"fondre de pitié",2, 0.00029
"faillir de le pitié",2, 0.00029
"essayer de faire pitié",2, 0.00029
"essayer de avoir pitié",2, 0.00029
"espérer de le pitié",2, 0.00029
"enflammer de un pitié",2, 0.00029
"dénuer de tout pitié",2, 0.00029
"donner de le pitié",2, 0.00029
"distinguer de le pitié",2, 0.00029
"demander de prendre pitié",2, 0.00029
"créer de le pitié",2, 0.00029
"crever de pitié",2, 0.00029
"couler de le pitié",2, 0.00029
"causer de le pitié",2, 0.00029
"cacher de le pitié",2, 0.00029
"avoir de nous pitié",2, 0.00029
"attirer de le pitié",2, 0.00029
"accabler de pitié",2, 0.00029
"éviter de avoir pitié",1, 0.00015
"éveiller de le pitié",1, 0.00015
"éprouvre de le pitié",1, 0.00015
"éperdre de pitié",1, 0.00015
"émousser de le pitié",1, 0.00015
"édifier de mon pitié",1, 0.00015
"écraser de son pitié",1, 0.00015
"éclater de pitié",1, 0.00015
"whuffie de pitié",1, 0.00015
"vouloir de aucun pitié",1, 0.00015
"voir de pitié",1, 0.00015
"vibrer de le pitié",1, 0.00015
"venir de votre pitié",1, 0.00015
"venir de son pitié",1, 0.00015
"venir de pitié",1, 0.00015
"témoigner de pitié",1, 0.00015
"témoigner de aucun pitié",1, 0.00015
"triompher de le pitié",1, 0.00015
"traîner de le pitié",1, 0.00015
"traverser de pitié",1, 0.00015
"traiter de pitié",1, 0.00015
"trafiquer de le pitié",1, 0.00015
"toucher de un pitié",1, 0.00015
"toucher de le pitié",1, 0.00015
"tirer de le pitié",1, 0.00015
"tenter de avoir pitié",1, 0.00015
"tenir de le pitié",1, 0.00015
"tendre de pitié",1, 0.00015
"tempérer de pitié",1, 0.00015
"tarifer de le pitié",1, 0.00015
"survivre de pitié",1, 0.00015
"suggérer de le pitié",1, 0.00015
"suffoquer de pitié",1, 0.00015
"soupçonner de pitié",1, 0.00015
"soupirer de pitié",1, 0.00015
"souffrir de pitié",1, 0.00015
"sembler de prendre pitié",1, 0.00015
"sembler de avoir pitié",1, 0.00015
"savoir de le pitié",1, 0.00015
"sacrer de le pitié",1, 0.00015
"rougir de pitié",1, 0.00015
"ricaner de pitié",1, 0.00015
"retourner de pitié",1, 0.00015
"repaître de pitié",1, 0.00015
"rendre de votre pitié",1, 0.00015
"rendre de le pitié",1, 0.00015
"remplir de un pitié",1, 0.00015
"remplir de tendre pitié",1, 0.00015
"remercier de ton pitié",1, 0.00015
"remercier de son pitié",1, 0.00015
"refuser de avoir pitié",1, 0.00015
"reconnaître de le pitié",1, 0.00015
"recommander de avoir pitié",1, 0.00015
"raller de pitié",1, 0.00015
"rajouter de le pitié",1, 0.00015
"pâlir de pitié",1, 0.00015
"punir de votre pitié",1, 0.00015
"punir de son pitié",1, 0.00015
"préserver de un pitié",1, 0.00015
"préserver de tout pitié",1, 0.00015
"provenir de le pitié",1, 0.00015
"protéger de le pitié",1, 0.00015
"procurer de le pitié",1, 0.00015
"priver de tout pitié",1, 0.00015
"priver de le pitié",1, 0.00015
"prendre de tendre pitié",1, 0.00015
"prendre de grand pitié",1, 0.00015
"pouvoir de pitié",1, 0.00015
"pourvoir de pitié",1, 0.00015
"pleurer de franc pitié",1, 0.00015
"pleurer de faux pitié",1, 0.00015
"plaire de avoir pitié",1, 0.00015
"plaindre de un pitié",1, 0.00015
"plaindre de pitié",1, 0.00015
"permettre de prendre pitié",1, 0.00015
"percevoir de le pitié",1, 0.00015
"penser de leur pitié",1, 0.00015
"pencher de côté pitié",1, 0.00015
"passer de le pitié",1, 0.00015
"parler de son pitié",1, 0.00015
"parler de noble pitié",1, 0.00015
"pa de pitié",1, 0.00015
"offrir de pitié",1, 0.00015
"octroyer de avoir pitié",1, 0.00015
"obtenir de son pitié",1, 0.00015
"obtenir de le pitié",1, 0.00015
"nécessiter de le pitié",1, 0.00015
"nuancer de pitié",1, 0.00015
"nourrir de le pitié",1, 0.00015
"naître de ton pitié",1, 0.00015
"nai de pitié",1, 0.00015
"mêler de quelque pitié",1, 0.00015
"mêler de le pitié",1, 0.00015
"mériter de le pitié",1, 0.00015
"mélanger de pitié",1, 0.00015
"mâtiner de pitié",1, 0.00015
"murmurer de "" pitié",1, 0.00015
"munir de aucun pitié",1, 0.00015
"mourir de pitié",1, 0.00015
"montrer de aucun pitié",1, 0.00015
"meuz de pitié",1, 0.00015
"merki de son pitié",1, 0.00015
"masquer de pitié",1, 0.00015
"marrer de le pitié",1, 0.00015
"marrer de faire pitié",1, 0.00015
"marier de le pitié",1, 0.00015
"manquer de ce pitié",1, 0.00015
"manifester de pitié",1, 0.00015
"livrer de pitié",1, 0.00015
"lever de pitié",1, 0.00015
"lamenter de pitié",1, 0.00015
"jouir de le pitié",1, 0.00015
"jouer de le pitié",1, 0.00015
"joindre de le pitié",1, 0.00015
"inverser de le pitié",1, 0.00015
"interdire de faire pitié",1, 0.00015
"inonder de pitié",1, 0.00015
"influer de le pitié",1, 0.00015
"indigner de votre pitié",1, 0.00015
"implorer de pitié",1, 0.00015
"identifier de le pitié",1, 0.00015
"honorer de son pitié",1, 0.00015
"honorer de prendre pitié",1, 0.00015
