kwic,frequence,pourcentage
"manquer de respect",3738, 0.54604
"assurer de respect",2142, 0.31290
"avoir de respect",1217, 0.17778
"garer de respect",477, 0.06968
"parler de respect",466, 0.06807
"faire de respect",365, 0.05332
"montrer de respect",239, 0.03491
"témoigner de respect",235, 0.03433
"être de respect",214, 0.03126
"agir de respect",205, 0.02995
"empreindre de respect",199, 0.02907
"attester de respect",186, 0.02717
"charger de respect",170, 0.02483
"justifier de respect",166, 0.02425
"dépendre de respect",125, 0.01826
"aller de respect",119, 0.01738
"entourer de respect",101, 0.01475
"suivre de respect",100, 0.01461
"inspirer de respect",85, 0.01242
"assurer de bon respect",85, 0.01242
"demander de respect",76, 0.01110
"mêler de respect",74, 0.01081
"éprouver de respect",73, 0.01066
"devoir de respect",65, 0.00950
"affranchir de respect",58, 0.00847
"manifester de respect",57, 0.00833
"jouir de respect",57, 0.00833
"gager de respect",57, 0.00833
"garantir de respect",56, 0.00818
"assurer de leur respect",51, 0.00745
"remplir de respect",49, 0.00716
"pénétrer de respect",49, 0.00716
"soucier de respect",48, 0.00701
"saisir de respect",47, 0.00687
"pouvoir de respect",45, 0.00657
"dispenser de respect",45, 0.00657
"mériter de respect",42, 0.00614
"accompagner de respect",42, 0.00614
"vouloir de respect",41, 0.00599
"relever de respect",41, 0.00599
"préoccuper de respect",41, 0.00599
"bénéficier de respect",41, 0.00599
"partir de respect",39, 0.00570
"exonérer de respect",39, 0.00570
"découler de respect",38, 0.00555
"vivre de respect",37, 0.00540
"juger de respect",36, 0.00526
"résulter de respect",32, 0.00467
"donner de respect",31, 0.00453
"gagner de respect",30, 0.00438
"résulter de non respect",29, 0.00424
"sassurer de respect",28, 0.00409
"emplir de respect",28, 0.00409
"tenir de respect",27, 0.00394
"teinter de respect",27, 0.00394
"parler de "" respect",27, 0.00394
"jouir de un respect",27, 0.00394
"assurer de son respect",26, 0.00380
"exiger de respect",25, 0.00365
"est-à-dire de respect",25, 0.00365
"douter de respect",25, 0.00365
"éloigner de respect",24, 0.00351
"témoigner de un respect",24, 0.00351
"témoigner de son respect",23, 0.00336
"exempter de respect",23, 0.00336
"voir de respect",22, 0.00321
"traiter de respect",22, 0.00321
"dire de respect",22, 0.00321
"écarter de respect",20, 0.00292
"satisfaire de respect",20, 0.00292
"imprégner de respect",20, 0.00292
"élever de respect",19, 0.00278
"naître de respect",19, 0.00278
"inquiéter de respect",18, 0.00263
"assurer de strict respect",18, 0.00263
"découler de non respect",17, 0.00248
"venir de respect",16, 0.00234
"parler de non respect",16, 0.00234
"faillir de respect",16, 0.00234
"imposer de respect",15, 0.00219
"accorder de respect",15, 0.00219
"témoigner de leur respect",14, 0.00205
"sortir de respect",14, 0.00205
"garder de respect",14, 0.00205
"frapper de respect",14, 0.00205
"attendre de respect",14, 0.00205
"assurer de mon respect",14, 0.00205
"ressentir de respect",13, 0.00190
"marquer de respect",13, 0.00190
"exprimer de respect",13, 0.00190
