kwic,frequence,pourcentage
"faire le fierté",2508, 0.36637
"être un fierté",919, 0.13425
"être le fierté",746, 0.10897
"avoir le fierté",486, 0.07099
"faire notre fierté",209, 0.03053
"être notre fierté",198, 0.02892
"faire son fierté",144, 0.02104
"exprimer son fierté",139, 0.02030
"être mon fierté",120, 0.01753
"retrouver le fierté",105, 0.01534
"avoir un fierté",105, 0.01534
"ravaler son fierté",104, 0.01519
"avoir son fierté",90, 0.01315
"être son fierté",83, 0.01212
"mettre son fierté",81, 0.01183
"tirer un fierté",77, 0.01125
"faire un fierté",75, 0.01096
"avoir aucun fierté",67, 0.00979
"dire son fierté",63, 0.00920
"exprimer leur fierté",62, 0.00906
"tirer aucun fierté",58, 0.00847
"faire leur fierté",58, 0.00847
"renforcer le fierté",54, 0.00789
"retrouver son fierté",51, 0.00745
"exprimer le fierté",51, 0.00745
"devenir le fierté",51, 0.00745
"susciter le fierté",50, 0.00730
"faire votre fierté",50, 0.00730
"faire mon fierté",49, 0.00716
"dire le fierté",49, 0.00716
"avoir mon fierté",47, 0.00687
"afficher son fierté",46, 0.00672
"ravaler mon fierté",41, 0.00599
"imaginer le fierté",41, 0.00599
"retrouver leur fierté",40, 0.00584
"devenir un fierté",40, 0.00584
"voir le fierté",38, 0.00555
"rendre leur fierté",37, 0.00540
"donner le fierté",37, 0.00540
"cacher son fierté",36, 0.00526
"redonner le fierté",35, 0.00511
"montrer son fierté",35, 0.00511
"être leur fierté",34, 0.00497
"rendre son fierté",34, 0.00497
"représenter le fierté",31, 0.00453
"avoir ce fierté",31, 0.00453
"garder son fierté",30, 0.00438
"exprimer mon fierté",28, 0.00409
"montrer le fierté",27, 0.00394
"constituer le fierté",27, 0.00394
"tirer son fierté",26, 0.00380
"retrouver un fierté",26, 0.00380
"dire mon fierté",26, 0.00380
"constituer un fierté",26, 0.00380
"affirmer son fierté",26, 0.00380
"ressentir le fierté",25, 0.00365
"partager le fierté",25, 0.00365
"affirmer leur fierté",25, 0.00365
"rester le fierté",23, 0.00336
"restaurer le fierté",23, 0.00336
"rendre le fierté",22, 0.00321
"afficher leur fierté",22, 0.00321
"tirer quelque fierté",21, 0.00307
"souligner le fierté",21, 0.00307
"redonner son fierté",21, 0.00307
"ravaler leur fierté",21, 0.00307
"perdre son fierté",21, 0.00307
"dire notre fierté",21, 0.00307
"affirmer le fierté",21, 0.00307
"éprouver le fierté",20, 0.00292
"sentir le fierté",20, 0.00292
"représenter un fierté",20, 0.00292
"mettre mon fierté",20, 0.00292
"mettre leur fierté",19, 0.00278
"inspirer le fierté",19, 0.00278
"comprendre le fierté",19, 0.00278
"évoquer le fierté",18, 0.00263
"redonner un fierté",18, 0.00263
