kwic,frequence,pourcentage
"être un honte",5542, 0.80957
"être le honte",1389, 0.20290
"avoir aucun honte",695, 0.10152
"avoir le honte",292, 0.04265
"taper le honte",233, 0.03404
"foutre le honte",208, 0.03038
"éviter le honte",149, 0.02177
"faire le honte",142, 0.02074
"mettre le honte",131, 0.01914
"cacher son honte",89, 0.01300
"éprouver aucun honte",79, 0.01154
"effacer le honte",65, 0.00950
"connaître le honte",65, 0.00950
"épargner le honte",58, 0.00847
"ressentir le honte",57, 0.00833
"jeter le honte",56, 0.00818
"mépriser le honte",54, 0.00789
"prendre le honte",53, 0.00774
"subir le honte",51, 0.00745
"avoir un honte",51, 0.00745
"porter le honte",50, 0.00730
"imaginer le honte",42, 0.00614
"devenir le honte",42, 0.00614
"devenir un honte",41, 0.00599
"supporter le honte",40, 0.00584
"ajouter le honte",40, 0.00584
"coller le honte",39, 0.00570
"oublier le honte",38, 0.00555
"cacher le honte",38, 0.00555
"laver le honte",36, 0.00526
"voir le honte",34, 0.00497
"payer le honte",34, 0.00497
"dépasser le honte",31, 0.00453
"apporter le honte",30, 0.00438
"ressentir aucun honte",28, 0.00409
"dire le honte",28, 0.00409
"être notre honte",27, 0.00394
"éprouver un honte",27, 0.00394
"avoir quelque honte",27, 0.00394
"cest un honte",26, 0.00380
"ressentir un honte",25, 0.00365
"surmonter le honte",24, 0.00351
"avoir nul honte",24, 0.00351
"susciter le honte",23, 0.00336
"constituer un honte",22, 0.00321
"sentir le honte",21, 0.00307
"éprouver le honte",20, 0.00292
"vivre le honte",20, 0.00292
"rendre le honte",20, 0.00292
"provoquer le honte",19, 0.00278
"fuir le honte",19, 0.00278
"exprimer son honte",19, 0.00278
"appeler le honte",19, 0.00278
"craindre le honte",18, 0.00263
"changer le honte",18, 0.00263
"cacher leur honte",18, 0.00263
"avoir tout honte",18, 0.00263
"affronter le honte",18, 0.00263
"suivre le honte",16, 0.00234
"préférer le honte",16, 0.00234
"faire leur honte",16, 0.00234
"exprimer le honte",16, 0.00234
"découvrir le honte",16, 0.00234
"rester le honte",15, 0.00219
"raconter son honte",15, 0.00219
"accepter le honte",15, 0.00219
"rester un honte",14, 0.00205
"attirer le honte",14, 0.00205
"être leur honte",13, 0.00190
"étayer un honte",13, 0.00190
"épargner ce honte",13, 0.00190
"venger le honte",13, 0.00190
"souffrir le honte",13, 0.00190
"partager le honte",13, 0.00190
"effacer ce honte",13, 0.00190
"cacher mon honte",13, 0.00190
"éprouver quelque honte",12, 0.00175
"représenter le honte",12, 0.00175
"fiche le honte",12, 0.00175
"couvrir le honte",12, 0.00175
"comprendre le honte",12, 0.00175
"avoir ce honte",12, 0.00175
"être mon honte",11, 0.00161
"voir son honte",11, 0.00161
"savoir le honte",11, 0.00161
"représenter un honte",11, 0.00161
"infliger le honte",11, 0.00161
"exprimer leur honte",11, 0.00161
"donner le honte",11, 0.00161
"dire son honte",11, 0.00161
"réparer le honte",10, 0.00146
"laver son honte",10, 0.00146
"chasser le honte",10, 0.00146
"être ce honte",9, 0.00131
"évoquer le honte",9, 0.00131
"supporter ce honte",9, 0.00131
"subir ce honte",9, 0.00131
"ressentir ce honte",9, 0.00131
"rappeler le honte",9, 0.00131
"inspirer le honte",9, 0.00131
"faire un honte",9, 0.00131
"faire mon honte",9, 0.00131
"expliquer le honte",9, 0.00131
"couvrir son honte",9, 0.00131
"compter le honte",9, 0.00131
"choisir le honte",9, 0.00131
"avoir son honte",9, 0.00131
"avoir notre honte",9, 0.00131
"être son honte",8, 0.00117
"éliminer le honte",8, 0.00117
"voir aucun honte",8, 0.00117
"refuser le honte",8, 0.00117
"perdre tout honte",8, 0.00117
"montrer son honte",8, 0.00117
"laisser le honte",8, 0.00117
"engendrer le honte",8, 0.00117
"dépasser son honte",8, 0.00117
"assumer le honte",8, 0.00117
"écarter le honte",7, 0.00102
"venir le honte",7, 0.00102
"vaincre le honte",7, 0.00102
"taper un honte",7, 0.00102
"souligner le honte",7, 0.00102
"sommer le honte",7, 0.00102
"ravaler son honte",7, 0.00102
"raconter le honte",7, 0.00102
"passer le honte",7, 0.00102
"oublier tout honte",7, 0.00102
"masquer son honte",7, 0.00102
"infliger un honte",7, 0.00102
"imprimer le honte",7, 0.00102
"ignorer le honte",7, 0.00102
"exprimer mon honte",7, 0.00102
"etait un honte",7, 0.00102
"entraîner le honte",7, 0.00102
"dévoiler le honte",7, 0.00102
"découvrir son honte",7, 0.00102
"dissimuler le honte",7, 0.00102
"dire mon honte",7, 0.00102
"couvrir mon honte",7, 0.00102
"boire son honte",7, 0.00102
"être votre honte",6, 0.00088
"éviter ce honte",6, 0.00088
"étayer le honte",6, 0.00088
"voir ton honte",6, 0.00088
"valoir le honte",6, 0.00088
"transformer le honte",6, 0.00088
"ramasser le honte",6, 0.00088
"produire le honte",6, 0.00088
"payer ton honte",6, 0.00088
"oublier ce honte",6, 0.00088
"naître le honte",6, 0.00088
"mêler le honte",6, 0.00088
"inculquer le honte",6, 0.00088
"essuyer le honte",6, 0.00088
"enlever le honte",6, 0.00088
"endurer le honte",6, 0.00088
"dénoncer le honte",6, 0.00088
"décrire le honte",6, 0.00088
"chier le honte",6, 0.00088
"avouer son honte",6, 0.00088
"amener le honte",6, 0.00088
"ôter le honte",5, 0.00073
"être tout honte",5, 0.00073
"voiler son honte",5, 0.00073
"traduire le honte",5, 0.00073
"symboliser le honte",5, 0.00073
"surmonter son honte",5, 0.00073
"surmonter mon honte",5, 0.00073
"subir un honte",5, 0.00073
"sentir aucun honte",5, 0.00073
"savoir quel honte",5, 0.00073
"ravaler leur honte",5, 0.00073
"perdre le honte",5, 0.00073
"oublier son honte",5, 0.00073
"laver ce honte",5, 0.00073
"jouer le honte",5, 0.00073
"intérioriser le honte",5, 0.00073
"intituler le honte",5, 0.00073
"garder le honte",5, 0.00073
"filer le honte",5, 0.00073
"etes le honte",5, 0.00073
"encourir le honte",5, 0.00073
"dire quel honte",5, 0.00073
"conjurer le honte",5, 0.00073
"cest le honte",5, 0.00073
"cesser ce honte",5, 0.00073
