kwic,frequence,pourcentage
"être le mépris",327, 0.04777
"être un mépris",157, 0.02293
"afficher un mépris",124, 0.01811
"afficher son mépris",122, 0.01782
"avoir un mépris",117, 0.01709
"exprimer son mépris",112, 0.01636
"dénoncer le mépris",101, 0.01475
"montrer son mépris",82, 0.01198
"voir le mépris",81, 0.01183
"montrer le mépris",78, 0.01139
"attirer le mépris",76, 0.01110
"avoir aucun mépris",74, 0.01081
"subir le mépris",68, 0.00993
"avoir le mépris",63, 0.00920
"exprimer le mépris",62, 0.00906
"valoir le mépris",48, 0.00701
"mériter le mépris",45, 0.00657
"montrer un mépris",44, 0.00643
"susciter le mépris",43, 0.00628
"inspirer le mépris",41, 0.00599
"traduire un mépris",38, 0.00555
"afficher leur mépris",38, 0.00555
"ajouter le mépris",37, 0.00540
"dire le mépris",36, 0.00526
"manifester un mépris",35, 0.00511
"exprimer leur mépris",35, 0.00511
"enseigner le mépris",35, 0.00511
"engendrer le mépris",34, 0.00497
"manifester son mépris",32, 0.00467
"supporter le mépris",31, 0.00453
"montrer leur mépris",29, 0.00424
"connaître le mépris",29, 0.00424
"exprimer un mépris",26, 0.00380
"traduire le mépris",25, 0.00365
"marquer son mépris",24, 0.00351
"démontrer un mépris",24, 0.00351
"cacher son mépris",23, 0.00336
"témoigner son mépris",22, 0.00321
"suinter le mépris",22, 0.00321
"souligner le mépris",22, 0.00321
"dire son mépris",22, 0.00321
"être ce mépris",21, 0.00307
"sentir le mépris",21, 0.00307
"pousser le mépris",21, 0.00307
"démontrer son mépris",21, 0.00307
"cracher son mépris",21, 0.00307
"cacher le mépris",21, 0.00307
"révéler un mépris",20, 0.00292
"provoquer le mépris",20, 0.00292
"illustrer le mépris",20, 0.00292
"éviter le mépris",19, 0.00278
"vouer un mépris",19, 0.00278
"expliquer le mépris",19, 0.00278
"démontrer le mépris",19, 0.00278
"révéler le mépris",18, 0.00263
"savoir le mépris",17, 0.00248
"constater le mépris",17, 0.00248
"appeler le mépris",17, 0.00248
"être son mépris",16, 0.00234
"évoquer le mépris",16, 0.00234
"éprouver un mépris",16, 0.00234
"marquer le mépris",16, 0.00234
"afficher le mépris",16, 0.00234
"rappeler le mépris",15, 0.00219
"partager le mépris",15, 0.00219
"friser le mépris",15, 0.00219
"entretenir le mépris",15, 0.00219
