kwic,frequence,pourcentage
"avoir aucun pitié",533, 0.07786
"implorer le pitié",117, 0.01709
"inspirer le pitié",108, 0.01578
"susciter le pitié",97, 0.01417
"être le pitié",77, 0.01125
"attirer le pitié",66, 0.00964
"exciter le pitié",65, 0.00950
"montrer aucun pitié",60, 0.00876
"être un pitié",50, 0.00730
"implorer son pitié",45, 0.00657
"avoir le pitié",37, 0.00540
"provoquer le pitié",34, 0.00497
"éprouver aucun pitié",31, 0.00453
"mériter aucun pitié",27, 0.00394
"éveiller le pitié",19, 0.00278
"implorer leur pitié",18, 0.00263
"avoir un pitié",17, 0.00248
"mériter le pitié",16, 0.00234
"invoquer le pitié",16, 0.00234
"ignorer le pitié",16, 0.00234
"avoir quelque pitié",16, 0.00234
"appeler le pitié",16, 0.00234
"émouvoir le pitié",14, 0.00205
"refuser le pitié",14, 0.00205
"ressentir aucun pitié",13, 0.00190
"naître le pitié",13, 0.00190
"exprimer le pitié",12, 0.00175
"connaître le pitié",12, 0.00175
"avoir nul pitié",12, 0.00175
"voir le pitié",11, 0.00161
"implorer votre pitié",11, 0.00161
"faire tout pitié",10, 0.00146
"inspirer un pitié",9, 0.00131
"demander aucun pitié",9, 0.00131
"utiliser le pitié",8, 0.00117
"inspirer aucun pitié",8, 0.00117
"implorer ton pitié",8, 0.00117
"implorer mon pitié",8, 0.00117
"demander le pitié",8, 0.00117
"apprendre le pitié",8, 0.00117
"représenter le pitié",7, 0.00102
"exprimer son pitié",7, 0.00102
"accorder aucun pitié",7, 0.00102
"étouffer le pitié",6, 0.00088
"éprouver un pitié",6, 0.00088
"susciter son pitié",6, 0.00088
"solliciter le pitié",6, 0.00088
"réclamer le pitié",6, 0.00088
"mendier le pitié",6, 0.00088
"manifester aucun pitié",6, 0.00088
"lire le pitié",6, 0.00088
"laisser aucun pitié",6, 0.00088
"choir le pitié",6, 0.00088
"chercher le pitié",6, 0.00088
"attendre aucun pitié",6, 0.00088
"évoquer le pitié",5, 0.00073
"trouver aucun pitié",5, 0.00073
"sentir le pitié",5, 0.00073
"rendre le pitié",5, 0.00073
"oublier le pitié",5, 0.00073
"mériter votre pitié",5, 0.00073
"mériter notre pitié",5, 0.00073
"faire un pitié",5, 0.00073
"exciter son pitié",5, 0.00073
"exciter mon pitié",5, 0.00073
"espérer aucun pitié",5, 0.00073
"avoir tout pitié",5, 0.00073
"être ce pitié",4, 0.00058
"éveiller notre pitié",4, 0.00058
"éprouver le pitié",4, 0.00058
"venir le pitié",4, 0.00058
"sentir quelque pitié",4, 0.00058
"ressentir le pitié",4, 0.00058
"refuser son pitié",4, 0.00058
"prêcher le pitié",4, 0.00058
"obtenir son pitié",4, 0.00058
"obtenir le pitié",4, 0.00058
"mêler le pitié",4, 0.00058
"faire aucun pitié",4, 0.00058
"exercer le pitié",4, 0.00058
"enseigner le pitié",4, 0.00058
"engendrer le pitié",4, 0.00058
"dire le pitié",4, 0.00058
"connaître aucun pitié",4, 0.00058
"attendre son pitié",4, 0.00058
"affronter le pitié",4, 0.00058
"ôter le pitié",3, 0.00044
"être mon pitié",3, 0.00044
"éviter le pitié",3, 0.00044
"émouvoir son pitié",3, 0.00044
"témoigner son pitié",3, 0.00044
"témoigner aucun pitié",3, 0.00044
"trouver le pitié",3, 0.00044
"solliciter leur pitié",3, 0.00044
"servir le pitié",3, 0.00044
"ressentir un pitié",3, 0.00044
