kwic,frequence,pourcentage
"garantir le respect",4331, 0.63267
"assurer le respect",4330, 0.63252
"être le respect",2516, 0.36753
"imposer le respect",1925, 0.28120
"forcer le respect",1695, 0.24760
"vérifier le respect",1295, 0.18917
"exiger le respect",1193, 0.17427
"contrôler le respect",1112, 0.16244
"avoir aucun respect",1043, 0.15236
"mériter le respect",964, 0.14082
"gagner le respect",889, 0.12986
"demander le respect",743, 0.10854
"inspirer le respect",706, 0.10313
"avoir le respect",675, 0.09860
"promouvoir le respect",549, 0.08020
"impliquer le respect",548, 0.08005
"favoriser le respect",531, 0.07757
"concerner le respect",513, 0.07494
"apprendre le respect",479, 0.06997
"permettre le respect",422, 0.06165
"avoir un respect",413, 0.06033
"obtenir le respect",380, 0.05551
"prôner le respect",343, 0.05010
"devoir le respect",325, 0.04748
"réclamer le respect",291, 0.04251
"nécessiter le respect",281, 0.04105
"supposer le respect",274, 0.04003
"valoir le respect",237, 0.03462
"améliorer le respect",207, 0.03024
"concilier le respect",203, 0.02965
"apprécier le respect",203, 0.02965
"surveiller le respect",199, 0.02907
"encourager le respect",199, 0.02907
"renforcer le respect",192, 0.02805
"enseigner le respect",192, 0.02805
"mériter notre respect",189, 0.02761
"susciter le respect",184, 0.02688
"évaluer le respect",175, 0.02556
"perdre le respect",172, 0.02513
"faciliter le respect",167, 0.02440
"savoir le respect",158, 0.02308
"attirer le respect",151, 0.02206
"défendre le respect",150, 0.02191
"montrer le respect",143, 0.02089
"comprendre le respect",143, 0.02089
"intégrer le respect",123, 0.01797
"appeler le respect",123, 0.01797
"commander le respect",120, 0.01753
"privilégier le respect",118, 0.01724
"revendiquer le respect",116, 0.01695
"inculquer le respect",115, 0.01680
"garantir un respect",113, 0.01651
"invoquer le respect",112, 0.01636
"démontrer le respect",108, 0.01578
"inclure le respect",107, 0.01563
"oublier le respect",101, 0.01475
"présenter son respect",99, 0.01446
"être un respect",97, 0.01417
"développer le respect",97, 0.01417
"assurer un respect",97, 0.01417
"rappeler le respect",94, 0.01373
"viser le respect",92, 0.01344
"est-à-dire le respect",92, 0.01344
"moyenner le respect",91, 0.01329
"exprimer le respect",86, 0.01256
"prévoir le respect",84, 0.01227
"confirmer le respect",83, 0.01212
"évoquer le respect",80, 0.01169
"placer le respect",79, 0.01154
"marquer le respect",79, 0.01154
"vouloir le respect",76, 0.01110
"valider le respect",75, 0.01096
"présenter mon respect",74, 0.01081
"imposer un respect",73, 0.01066
"exprimer son respect",70, 0.01023
"acquérir le respect",70, 0.01023
"voir le respect",68, 0.00993
"dire le respect",68, 0.00993
"constater le respect",68, 0.00993
"montrer son respect",66, 0.00964
"aimer le respect",66, 0.00964
"perdre tout respect",64, 0.00935
"garder le respect",64, 0.00935
"requérir le respect",62, 0.00906
"mériter aucun respect",62, 0.00906
"examiner le respect",61, 0.00891
"justifier le respect",60, 0.00876
"conserver le respect",60, 0.00876
"suivre le respect",59, 0.00862
"rendre le respect",59, 0.00862
"prouver le respect",59, 0.00862
"maintenir le respect",59, 0.00862
"certifier le respect",59, 0.00862
"signifier le respect",57, 0.00833
"vouer un respect",56, 0.00818
"gagner leur respect",56, 0.00818
"allier le respect",55, 0.00803
"préserver le respect",54, 0.00789
"mesurer le respect",54, 0.00789
"donner le respect",54, 0.00789
"impliquer un respect",53, 0.00774
"cultiver le respect",52, 0.00760
"être ce respect",51, 0.00745
"valoriser le respect",50, 0.00730
"gagner son respect",49, 0.00716
"avoir mon respect",49, 0.00716
"exiger un respect",48, 0.00701
"préconiser le respect",47, 0.00687
"montrer un respect",47, 0.00687
"affirmer le respect",46, 0.00672
"connaître le respect",45, 0.00657
"ajouter le respect",45, 0.00657
"souligner le respect",44, 0.00643
"permettre un respect",44, 0.00643
"marquer son respect",44, 0.00643
"considérer le respect",44, 0.00643
"rétablir le respect",43, 0.00628
"retrouver le respect",43, 0.00628
"mériter un respect",43, 0.00628
"traduire le respect",42, 0.00614
"instaurer le respect",42, 0.00614
"inspirer un respect",42, 0.00614
"avoir ce respect",42, 0.00614
"réaffirmer le respect",41, 0.00599
"montrer aucun respect",41, 0.00599
"compromettre le respect",41, 0.00599
"témoigner le respect",40, 0.00584
"accorder le respect",40, 0.00584
"reconnaître le respect",39, 0.00570
"manifester le respect",39, 0.00570
"trouver le respect",38, 0.00555
"demander un respect",38, 0.00555
"attester le respect",38, 0.00555
"manifester son respect",37, 0.00540
"établir le respect",36, 0.00526
"garantir leur respect",36, 0.00526
"témoigner leur respect",35, 0.00511
"restaurer le respect",35, 0.00511
"passer le respect",35, 0.00511
"engendrer le respect",35, 0.00511
"éprouver un respect",34, 0.00497
"violer le respect",34, 0.00497
"assurer leur respect",34, 0.00497
"témoigner son respect",33, 0.00482
"garantir son respect",33, 0.00482
"conditionner le respect",33, 0.00482
"prêcher le respect",32, 0.00467
"inscrire le respect",32, 0.00467
"faire le respect",32, 0.00467
"ds le respect",32, 0.00467
"compter le respect",32, 0.00467
"sentir le respect",31, 0.00453
"recevoir le respect",31, 0.00453
"proclamer le respect",31, 0.00453
"mettre le respect",31, 0.00453
"rester le respect",30, 0.00438
"exploiter le respect",30, 0.00438
"empêcher le respect",30, 0.00438
"apporter le respect",30, 0.00438
"souhaiter le respect",29, 0.00424
"régner le respect",29, 0.00424
"pratiquer le respect",29, 0.00424
"entendre le respect",29, 0.00424
"associer le respect",29, 0.00424
"accroître le respect",29, 0.00424
"observer le respect",28, 0.00409
"nécessiter un respect",28, 0.00409
"montrer leur respect",28, 0.00409
"indiquer le respect",28, 0.00409
"affirmer son respect",28, 0.00409
"être son respect",27, 0.00394
"transmettre le respect",27, 0.00394
"soutenir le respect",27, 0.00394
"regagner le respect",27, 0.00394
"exprimer mon respect",27, 0.00394
"devoir un respect",27, 0.00394
"conjuguer le respect",27, 0.00394
"saluer le respect",26, 0.00380
"représenter le respect",26, 0.00380
"recommander le respect",26, 0.00380
"manifester leur respect",26, 0.00380
"fonder le respect",26, 0.00380
"conquérir le respect",26, 0.00380
"superviser le respect",25, 0.00365
"présenter leur respect",25, 0.00365
"protéger le respect",25, 0.00365
"manifester un respect",25, 0.00365
"figurer le respect",25, 0.00365
"symboliser le respect",24, 0.00351
"promettre le respect",24, 0.00351
"prescrire le respect",24, 0.00351
"négliger le respect",24, 0.00351
"forcer mon respect",24, 0.00351
"exprimer leur respect",24, 0.00351
"mentionner le respect",23, 0.00336
"combiner le respect",23, 0.00336
"éprouver aucun respect",22, 0.00321
"témoigner un respect",22, 0.00321
"refléter le respect",22, 0.00321
"garder un respect",22, 0.00321
"consacrer le respect",22, 0.00321
"attendre le respect",22, 0.00321
"appliquer le respect",22, 0.00321
"porter un respect",21, 0.00307
"porter le respect",21, 0.00307
"expliquer le respect",21, 0.00307
"développer un respect",21, 0.00307
