kwic,frequence,pourcentage
"fierté être",647, 0.09451
"fierté avoir",187, 0.02732
"fierté retrouver",95, 0.01388
"fierté partager",60, 0.00876
"fierté pouvoir",40, 0.00584
"fierté blesser",34, 0.00497
"fierté ressentir",31, 0.00453
"fierté devoir",30, 0.00438
"fierté rester",27, 0.00394
"fierté perdre",25, 0.00365
"fierté quant",23, 0.00336
"fierté faire",23, 0.00336
"fierté déplacer",23, 0.00336
"fierté davoir",20, 0.00292
"fierté afficher",19, 0.00278
"fierté venir",17, 0.00248
"fierté mêler",17, 0.00248
"fierté lier",15, 0.00219
"fierté prendre",13, 0.00190
"fierté passer",13, 0.00190
"fierté mettre",13, 0.00190
"fierté dêtre",13, 0.00190
"fierté aller",13, 0.00190
"fierté teinter",12, 0.00175
"fierté justifier",12, 0.00175
"fierté bafouer",12, 0.00175
"fierté vivre",11, 0.00161
"fierté résider",11, 0.00161
"fierté éprouver",9, 0.00131
"fierté tirer",9, 0.00131
"fierté qu",9, 0.00131
"fierté organiser",9, 0.00131
"fierté obliger",9, 0.00131
"fierté monter",9, 0.00131
"fierté exacerber",9, 0.00131
"fierté vouloir",8, 0.00117
"fierté pousser",8, 0.00117
"fierté mériter",8, 0.00117
"fierté manifester",8, 0.00117
"fierté humilier",8, 0.00117
"fierté exprimer",8, 0.00117
"fierté assumer",8, 0.00117
"fierté renouveler",7, 0.00102
"fierté devenir",7, 0.00102
"fierté étayer",6, 0.00088
"fierté tenir",6, 0.00088
"fierté sembler",6, 0.00088
"fierté revendiquer",6, 0.00088
"fierté rendre",6, 0.00088
"fierté dire",6, 0.00088
"fierté d",6, 0.00088
"fierté associer",6, 0.00088
"fierté oublier",5, 0.00073
"fierté jouer",5, 0.00073
"fierté exagérer",5, 0.00073
"fierté dappartenir",5, 0.00073
"fierté commencer",5, 0.00073
"fierté briller",5, 0.00073
"fierté animer",5, 0.00073
"fierté voir",4, 0.00058
"fierté susciter",4, 0.00058
"fierté savoir",4, 0.00058
"fierté régner",4, 0.00058
"fierté relever",4, 0.00058
"fierté reconnaître",4, 0.00058
"fierté marquer",4, 0.00058
"fierté demeurer",4, 0.00058
"fierté apparaître",4, 0.00058
"fierté végéter",3, 0.00044
"fierté voler",3, 0.00044
"fierté valoir",3, 0.00044
"fierté tomber",3, 0.00044
"fierté tenter",3, 0.00044
"fierté tandis",3, 0.00044
"fierté revenir",3, 0.00044
"fierté retenir",3, 0.00044
"fierté reprendre",3, 0.00044
"fierté reposer",3, 0.00044
"fierté ravaler",3, 0.00044
"fierté provenir",3, 0.00044
"fierté parler",3, 0.00044
"fierté nest",3, 0.00044
"fierté montrer",3, 0.00044
"fierté meurtrir",3, 0.00044
"fierté mener",3, 0.00044
"fierté mal-placée",3, 0.00044
"fierté interdire",3, 0.00044
"fierté inclure",3, 0.00044
"fierté habiter",3, 0.00044
"fierté exister",3, 0.00044
"fierté entourer",3, 0.00044
"fierté décupler",3, 0.00044
"fierté donner",3, 0.00044
