kwic,frequence,pourcentage
"honte avoir",1009, 0.14739
"honte être",812, 0.11862
"honte boire",511, 0.07465
"honte devoir",136, 0.01987
"honte pouvoir",80, 0.01169
"honte ressentir",65, 0.00950
"honte lier",51, 0.00745
"honte faire",51, 0.00745
"honte d",43, 0.00628
"honte voir",32, 0.00467
"honte aller",30, 0.00438
"honte associer",29, 0.00424
"honte davoir",27, 0.00394
"honte venir",25, 0.00365
"honte éprouver",22, 0.00321
"honte vivre",21, 0.00307
"honte qu",19, 0.00278
"honte dire",19, 0.00278
"honte devenir",18, 0.00263
"honte revenir",17, 0.00248
"honte quant",16, 0.00234
"honte infliger",16, 0.00234
"honte subir",14, 0.00205
"honte provoquer",14, 0.00205
"honte mêler",14, 0.00205
"honte changer",14, 0.00205
"honte cacher",14, 0.00205
"honte retomber",13, 0.00190
"honte rejaillir",13, 0.00190
"honte passer",13, 0.00190
"honte laisser",12, 0.00175
"honte dêtre",12, 0.00175
"honte couvrir",12, 0.00175
"honte prendre",11, 0.00161
"honte peser",11, 0.00161
"honte empêcher",11, 0.00161
"honte savoir",10, 0.00146
"honte constituer",10, 0.00146
"honte attacher",10, 0.00146
"honte assurer",10, 0.00146
"honte sembler",9, 0.00131
"honte installer",9, 0.00131
"honte imposer",9, 0.00131
"honte finir",9, 0.00131
"honte engendrer",9, 0.00131
"honte arriver",9, 0.00131
"honte apparaître",9, 0.00131
"honte rester",8, 0.00117
"honte pousser",8, 0.00117
"honte jeter",8, 0.00117
"honte davouer",8, 0.00117
"honte tomber",7, 0.00102
"honte porter",7, 0.00102
"honte naître",7, 0.00102
"honte monter",7, 0.00102
"honte mettre",7, 0.00102
"honte envahir",7, 0.00102
"honte commencer",7, 0.00102
"honte ériger",6, 0.00088
"honte susciter",6, 0.00088
"honte provenir",6, 0.00088
"honte doubler",6, 0.00088
"honte avouer",6, 0.00088
"honte augmenter",6, 0.00088
"honte égaler",5, 0.00073
"honte séparer",5, 0.00073
"honte suivre",5, 0.00073
"honte rendre",5, 0.00073
"honte refouler",5, 0.00073
"honte publier",5, 0.00073
"honte poser",5, 0.00073
"honte permettre",5, 0.00073
"honte perdre",5, 0.00073
"honte partager",5, 0.00073
"honte paraître",5, 0.00073
"honte inculquer",5, 0.00073
"honte gagner",5, 0.00073
"honte exister",5, 0.00073
"honte disparaître",5, 0.00073
"honte construire",5, 0.00073
"honte comparer",5, 0.00073
"honte atteindre",5, 0.00073
"honte étayer",4, 0.00058
"honte étaler",4, 0.00058
"honte utiliser",4, 0.00058
"honte traverser",4, 0.00058
"honte tenir",4, 0.00058
"honte résulter",4, 0.00058
"honte retenir",4, 0.00058
"honte représenter",4, 0.00058
"honte redoubler",4, 0.00058
"honte reconnaître",4, 0.00058
"honte oser",4, 0.00058
"honte manifester",4, 0.00058
"honte jouer",4, 0.00058
"honte intérioriser",4, 0.00058
"honte grandir",4, 0.00058
"honte enfouir",4, 0.00058
"honte empourprer",4, 0.00058
"honte effacer",4, 0.00058
"honte déclarer",4, 0.00058
"honte couler",4, 0.00058
"honte ca",4, 0.00058
"honte anticiper",4, 0.00058
"honte ajouter",4, 0.00058
"honte accroître",4, 0.00058
"honte accompagner",4, 0.00058
"honte évoquer",3, 0.00044
"honte étouffer",3, 0.00044
"honte écraser",3, 0.00044
"honte vouloir",3, 0.00044
"honte vengier",3, 0.00044
"honte toucher",3, 0.00044
"honte survenir",3, 0.00044
"honte sortir",3, 0.00044
"honte signifier",3, 0.00044
"honte signaler",3, 0.00044
"honte révéler",3, 0.00044
"honte reposer",3, 0.00044
"honte refuser",3, 0.00044
"honte recouvrer",3, 0.00044
"honte recevoir",3, 0.00044
"honte présenter",3, 0.00044
"honte proférer",3, 0.00044
"honte oublier",3, 0.00044
"honte montrer",3, 0.00044
"honte mener",3, 0.00044
