kwic,frequence,pourcentage
"jalousie être",1133, 0.16551
"jalousie avoir",201, 0.02936
"jalousie pouvoir",199, 0.02907
"jalousie faire",93, 0.01359
"jalousie aller",60, 0.00876
"jalousie vivre",58, 0.00847
"jalousie venir",56, 0.00818
"jalousie prendre",38, 0.00555
"jalousie devenir",38, 0.00555
"jalousie exacerber",27, 0.00394
"jalousie provoquer",25, 0.00365
"jalousie monter",23, 0.00336
"jalousie exister",22, 0.00321
"jalousie naître",21, 0.00307
"jalousie susciter",19, 0.00278
"jalousie rendre",17, 0.00248
"jalousie devoir",17, 0.00248
"jalousie commencer",17, 0.00248
"jalousie supposer",15, 0.00219
"jalousie rester",15, 0.00219
"jalousie passer",15, 0.00219
"jalousie voir",14, 0.00205
"jalousie mettre",14, 0.00205
"jalousie lier",14, 0.00205
"jalousie sembler",13, 0.00190
"jalousie pointer",13, 0.00190
"jalousie ronger",12, 0.00175
"jalousie provenir",12, 0.00175
"jalousie pousser",12, 0.00175
"jalousie permettre",12, 0.00175
"jalousie détruire",12, 0.00175
"jalousie régner",11, 0.00161
"jalousie ressentir",11, 0.00161
"jalousie quant",11, 0.00161
"jalousie déplacer",11, 0.00161
"jalousie disparaître",11, 0.00161
"jalousie dire",11, 0.00161
"jalousie cacher",11, 0.00161
"jalousie donner",10, 0.00146
"jalousie apparaître",10, 0.00146
"jalousie revenir",9, 0.00131
"jalousie relever",9, 0.00131
"jalousie conduire",9, 0.00131
"jalousie tuer",8, 0.00117
"jalousie qu",8, 0.00117
"jalousie mener",8, 0.00117
"jalousie larver",8, 0.00117
"jalousie finir",8, 0.00117
"jalousie envahir",8, 0.00117
"jalousie aider",8, 0.00117
"jalousie vouloir",7, 0.00102
"jalousie tenir",7, 0.00102
"jalousie risquer",7, 0.00102
"jalousie modérer",7, 0.00102
"jalousie laisser",7, 0.00102
"jalousie justifier",7, 0.00102
"jalousie entraîner",7, 0.00102
"jalousie étayer",6, 0.00088
"jalousie marquer",6, 0.00088
"jalousie grandir",6, 0.00088
"jalousie causer",6, 0.00088
"jalousie ca",6, 0.00088
"jalousie éprouver",5, 0.00073
"jalousie surgir",5, 0.00073
"jalousie servir",5, 0.00073
"jalousie reprendre",5, 0.00073
"jalousie projeter",5, 0.00073
"jalousie opposer",5, 0.00073
"jalousie mêler",5, 0.00073
"jalousie induire",5, 0.00073
"jalousie gonfler",5, 0.00073
"jalousie fonder",5, 0.00073
"jalousie filmer",5, 0.00073
"jalousie entretenir",5, 0.00073
"jalousie engendrer",5, 0.00073
"jalousie découler",5, 0.00073
"jalousie constituer",5, 0.00073
"jalousie baisser",5, 0.00073
"jalousie amener",5, 0.00073
"jalousie agir",5, 0.00073
"jalousie accompagner",5, 0.00073
"jalousie éteindre",4, 0.00058
"jalousie traduire",4, 0.00058
"jalousie tenter",4, 0.00058
"jalousie résulter",4, 0.00058
"jalousie représenter",4, 0.00058
"jalousie remplir",4, 0.00058
"jalousie remonter",4, 0.00058
"jalousie recuire",4, 0.00058
"jalousie pourrir",4, 0.00058
"jalousie porter",4, 0.00058
"jalousie parler",4, 0.00058
"jalousie nest",4, 0.00058
"jalousie montrer",4, 0.00058
"jalousie jouer",4, 0.00058
"jalousie impliquer",4, 0.00058
"jalousie générer",4, 0.00058
"jalousie gâcher",4, 0.00058
"jalousie etc.",4, 0.00058
"jalousie etait",4, 0.00058
"jalousie empoisonner",4, 0.00058
"jalousie dévorer",4, 0.00058
"jalousie déguiser",4, 0.00058
"jalousie déchirer",4, 0.00058
"jalousie continuer",4, 0.00058
"jalousie brûler",4, 0.00058
"jalousie attirer",4, 0.00058
"jalousie atteindre",4, 0.00058
"jalousie arriver",4, 0.00058
"jalousie animer",4, 0.00058
"jalousie éveiller",3, 0.00044
"jalousie émaner",3, 0.00044
"jalousie élever",3, 0.00044
"jalousie éclater",3, 0.00044
"jalousie troubler",3, 0.00044
"jalousie trahir",3, 0.00044
"jalousie tourmenter",3, 0.00044
"jalousie teinter",3, 0.00044
"jalousie suivre",3, 0.00044
"jalousie subsister",3, 0.00044
"jalousie subir",3, 0.00044
"jalousie souffler",3, 0.00044
"jalousie signaler",3, 0.00044
"jalousie semer",3, 0.00044
"jalousie savoir",3, 0.00044
"jalousie saisir",3, 0.00044
"jalousie rôder",3, 0.00044
"jalousie rimer",3, 0.00044
"jalousie ressortir",3, 0.00044
"jalousie ressembler",3, 0.00044
"jalousie renvoyer",3, 0.00044
"jalousie refaire",3, 0.00044
"jalousie redoubler",3, 0.00044
"jalousie poindre",3, 0.00044
"jalousie passionner",3, 0.00044
"jalousie ouvrer",3, 0.00044
"jalousie occuper",3, 0.00044
"jalousie occasionner",3, 0.00044
"jalousie obliger",3, 0.00044
"jalousie mordre",3, 0.00044
"jalousie inspirer",3, 0.00044
"jalousie gagner",3, 0.00044
"jalousie fumer",3, 0.00044
"jalousie former",3, 0.00044
"jalousie fonctionner",3, 0.00044
"jalousie feindre",3, 0.00044
"jalousie exprimer",3, 0.00044
"jalousie exploser",3, 0.00044
"jalousie exagérer",3, 0.00044
"jalousie enrager",3, 0.00044
