kwic,frequence,pourcentage
"mépris afficher",600, 0.08765
"mépris être",416, 0.06077
"mépris avoir",101, 0.01475
"mépris vivre",88, 0.01285
"mépris manifester",67, 0.00979
"mépris pouvoir",37, 0.00540
"mépris faire",31, 0.00453
"mépris ouvrir",30, 0.00438
"mépris généraliser",29, 0.00424
"mépris exprimer",29, 0.00424
"mépris devoir",27, 0.00394
"mépris civiliser",25, 0.00365
"mépris qu",22, 0.00321
"mépris venir",21, 0.00307
"mépris ressentir",21, 0.00307
"mépris délibérer",21, 0.00307
"mépris aller",21, 0.00307
"mépris porter",20, 0.00292
"mépris croître",20, 0.00292
"mépris assumer",19, 0.00278
"mépris teinter",18, 0.00263
"mépris affecter",17, 0.00248
"mépris témoigner",16, 0.00234
"mépris mêler",16, 0.00234
"mépris amuser",15, 0.00219
"mépris condescendre",12, 0.00175
"mépris caractériser",12, 0.00175
"mépris quant",11, 0.00161
"mépris lier",11, 0.00161
"mépris adresser",11, 0.00161
"mépris subir",10, 0.00146
"mépris réserver",10, 0.00146
"mépris justifier",10, 0.00146
"mépris sembler",9, 0.00131
"mépris répéter",9, 0.00131
"mépris grandir",9, 0.00131
"mépris déguiser",9, 0.00131
"mépris devenir",8, 0.00117
"mépris accompagner",8, 0.00117
"mépris voir",7, 0.00102
"mépris supposer",7, 0.00102
"mépris rester",7, 0.00102
"mépris persister",7, 0.00102
"mépris marquer",7, 0.00102
"mépris jeter",7, 0.00102
"mépris inspirer",7, 0.00102
"mépris donner",7, 0.00102
"mépris contenir",7, 0.00102
"mépris professer",6, 0.00088
"mépris prendre",6, 0.00088
"mépris partager",6, 0.00088
"mépris opposer",6, 0.00088
"mépris infliger",6, 0.00088
"mépris exister",6, 0.00088
"mépris constituer",6, 0.00088
"mépris considérer",6, 0.00088
"mépris avérer",6, 0.00088
"mépris attacher",6, 0.00088
"mépris accorder",6, 0.00088
"mépris étayer",5, 0.00073
"mépris vouer",5, 0.00073
"mépris remplacer",5, 0.00073
"mépris provoquer",5, 0.00073
"mépris prononcer",5, 0.00073
"mépris polir",5, 0.00073
"mépris montrer",5, 0.00073
"mépris illustrer",5, 0.00073
