kwic,frequence,pourcentage
"pitié être",444, 0.06486
"pitié arrêter",115, 0.01680
"pitié avoir",111, 0.01621
"pitié faire",80, 0.01169
"pitié dire",45, 0.00657
"pitié aider",42, 0.00614
"pitié laisser",41, 0.00599
"pitié pouvoir",36, 0.00526
"pitié cesser",31, 0.00453
"pitié aller",28, 0.00409
"pitié éviter",24, 0.00351
"pitié venir",23, 0.00336
"pitié mêler",21, 0.00307
"pitié prendre",20, 0.00292
"pitié épargner",19, 0.00278
"pitié mettre",18, 0.00263
"pitié rester",14, 0.00205
"pitié vivre",11, 0.00161
"pitié sembler",11, 0.00161
"pitié entourer",11, 0.00161
"pitié relire",10, 0.00146
"pitié inspirer",10, 0.00146
"pitié devoir",10, 0.00146
"pitié devenir",10, 0.00146
"pitié dater",10, 0.00146
"pitié tuer",9, 0.00131
"pitié donner",9, 0.00131
"pitié commencer",9, 0.00131
"pitié arretez",9, 0.00131
"pitié virer",7, 0.00102
"pitié sortir",7, 0.00102
"pitié revenir",7, 0.00102
"pitié rendre",7, 0.00102
"pitié regarder",7, 0.00102
"pitié porter",7, 0.00102
"pitié permettre",7, 0.00102
"pitié essayer",7, 0.00102
"pitié apparaître",7, 0.00102
"pitié voir",6, 0.00088
"pitié soutenir",6, 0.00088
"pitié qu",6, 0.00088
"pitié penser",6, 0.00088
"pitié mener",6, 0.00088
"pitié garder",6, 0.00088
"pitié exister",6, 0.00088
"pitié continuer",6, 0.00088
"pitié changer",6, 0.00088
"pitié utiliser",5, 0.00073
"pitié trouver",5, 0.00073
"pitié tandis",5, 0.00073
"pitié sauver",5, 0.00073
"pitié répondre",5, 0.00073
"pitié reprendre",5, 0.00073
"pitié poser",5, 0.00073
"pitié pleurer",5, 0.00073
"pitié passer",5, 0.00073
"pitié parler",5, 0.00073
"pitié fermer",5, 0.00073
"pitié empêcher",5, 0.00073
"pitié comparer",5, 0.00073
"pitié étayer",4, 0.00058
"pitié tenir",4, 0.00058
"pitié servir",4, 0.00058
"pitié représenter",4, 0.00058
"pitié remplacer",4, 0.00058
"pitié remettre",4, 0.00058
"pitié recueillir",4, 0.00058
"pitié rassurer",4, 0.00058
"pitié rappeler",4, 0.00058
"pitié prier",4, 0.00058
"pitié lire",4, 0.00058
"pitié généraliser",4, 0.00058
"pitié faillir",4, 0.00058
"pitié expliquer",4, 0.00058
"pitié envoyer",4, 0.00058
"pitié encadrer",4, 0.00058
"pitié déchirer",4, 0.00058
"pitié conduire",4, 0.00058
"pitié apprendre",4, 0.00058
"pitié accepter",4, 0.00058
"pitié éprouver",3, 0.00044
"pitié élever",3, 0.00044
"pitié écrire",3, 0.00044
"pitié écouter",3, 0.00044
"pitié vouloir",3, 0.00044
"pitié tourner",3, 0.00044
"pitié tomber",3, 0.00044
"pitié tirer",3, 0.00044
"pitié savoir",3, 0.00044
"pitié sacrilége",3, 0.00044
"pitié retenir",3, 0.00044
"pitié respecter",3, 0.00044
"pitié reposer",3, 0.00044
"pitié renseigner",3, 0.00044
"pitié relever",3, 0.00044
"pitié quant",3, 0.00044
"pitié pénétrer",3, 0.00044
"pitié posséder",3, 0.00044
"pitié peupler",3, 0.00044
"pitié partager",3, 0.00044
"pitié pardonner",3, 0.00044
"pitié ouvrer",3, 0.00044
"pitié opposer",3, 0.00044
"pitié naître",3, 0.00044
"pitié lorsqu",3, 0.00044
"pitié limiter",3, 0.00044
"pitié jouer",3, 0.00044
"pitié instruire",3, 0.00044
"pitié indigner",3, 0.00044
"pitié inciter",3, 0.00044
"pitié grandir",3, 0.00044
"pitié former",3, 0.00044
"pitié exprimer",3, 0.00044
"pitié entendre",3, 0.00044
"pitié enlever",3, 0.00044
"pitié constituer",3, 0.00044
"pitié considérer",3, 0.00044
"pitié conserver",3, 0.00044
"pitié comporter",3, 0.00044
"pitié commander",3, 0.00044
"pitié chanter",3, 0.00044
"pitié arreter",3, 0.00044
"pitié amuser",3, 0.00044
"pitié aimer",3, 0.00044
"pitié acheter",3, 0.00044
"pitié accorder",3, 0.00044
"pitié éveiller",2, 0.00029
"pitié étendre",2, 0.00029
"pitié émouvoir",2, 0.00029
"pitié éliminer",2, 0.00029
"pitié éclairer",2, 0.00029
"pitié vérifier",2, 0.00029
"pitié viser",2, 0.00029
"pitié triompher",2, 0.00029
"pitié traverser",2, 0.00029
"pitié teinter",2, 0.00029
"pitié taire",2, 0.00029
"pitié susciter",2, 0.00029
"pitié surfer",2, 0.00029
"pitié situer",2, 0.00029
"pitié signifier",2, 0.00029
"pitié sculpter",2, 0.00029
"pitié sacrifier",2, 0.00029
"pitié révéler",2, 0.00029
"pitié réveiller",2, 0.00029
"pitié régir",2, 0.00029
"pitié réfléchir",2, 0.00029
"pitié réaliser",2, 0.00029
"pitié réagir",2, 0.00029
"pitié ruser",2, 0.00029
"pitié ronger",2, 0.00029
"pitié retarder",2, 0.00029
"pitié ressortir",2, 0.00029
"pitié ressentir",2, 0.00029
"pitié ressembler",2, 0.00029
"pitié reculer",2, 0.00029
"pitié recommencer",2, 0.00029
"pitié péter",2, 0.00029
"pitié présenter",2, 0.00029
"pitié précéder",2, 0.00029
"pitié provoquer",2, 0.00029
"pitié prononcer",2, 0.00029
"pitié pousser",2, 0.00029
"pitié plaindre",2, 0.00029
"pitié placer",2, 0.00029
"pitié partir",2, 0.00029
"pitié oublier",2, 0.00029
"pitié offrir",2, 0.00029
"pitié occuper",2, 0.00029
"pitié nest",2, 0.00029
"pitié mériter",2, 0.00029
"pitié montrer",2, 0.00029
"pitié maîtriser",2, 0.00029
"pitié massacrer",2, 0.00029
"pitié marquer",2, 0.00029
"pitié manifester",2, 0.00029
"pitié manger",2, 0.00029
"pitié lâcher",2, 0.00029
"pitié lancer",2, 0.00029
"pitié jète",2, 0.00029
"pitié intéresser",2, 0.00029
"pitié incarner",2, 0.00029
"pitié ignorer",2, 0.00029
"pitié fonder",2, 0.00029
"pitié finir",2, 0.00029
"pitié feindre",2, 0.00029
"pitié espérer",2, 0.00029
"pitié enseigner",2, 0.00029
"pitié engager",2, 0.00029
"pitié enfermer",2, 0.00029
"pitié embrasser",2, 0.00029
"pitié ella",2, 0.00029
"pitié dépendre",2, 0.00029
"pitié déguiser",2, 0.00029
"pitié décider",2, 0.00029
"pitié disparaître",2, 0.00029
"pitié demeurer",2, 0.00029
"pitié demander",2, 0.00029
"pitié créer",2, 0.00029
"pitié croire",2, 0.00029
"pitié couper",2, 0.00029
"pitié correspondre",2, 0.00029
"pitié convenir",2, 0.00029
"pitié consister",2, 0.00029
"pitié classer",2, 0.00029
"pitié citer",2, 0.00029
"pitié chercher",2, 0.00029
"pitié charger",2, 0.00029
"pitié ca",2, 0.00029
"pitié balayer",2, 0.00029
"pitié balancer",2, 0.00029
"pitié baiser",2, 0.00029
"pitié attirer",2, 0.00029
"pitié attendrir",2, 0.00029
"pitié attendre",2, 0.00029
"pitié arréter",2, 0.00029
"pitié arrondir",2, 0.00029
"pitié arretons",2, 0.00029
"pitié apporter",2, 0.00029
"pitié appliquer",2, 0.00029
"pitié appeler",2, 0.00029
"pitié angoisser",2, 0.00029
"pitié agir",2, 0.00029
"pitié accompagner",2, 0.00029
"pitié abriter",2, 0.00029
"pitié abattre",2, 0.00029
"pitié œuvrant",1, 0.00015
"pitié évoquer",1, 0.00015
"pitié évoluer",1, 0.00015
"pitié étrangler",1, 0.00015
"pitié étouffer",1, 0.00015
"pitié étonner",1, 0.00015
"pitié ériger",1, 0.00015
"pitié équivaloir",1, 0.00015
"pitié éperdre",1, 0.00015
"pitié élargir",1, 0.00015
"pitié égaliser",1, 0.00015
"pitié édé",1, 0.00015
"pitié économiser",1, 0.00015
"pitié â",1, 0.00015
"pitié y''a",1, 0.00015
"pitié vénérer",1, 0.00015
"pitié véhiculer",1, 0.00015
"pitié voter",1, 0.00015
"pitié vomir",1, 0.00015
"pitié voiler",1, 0.00015
"pitié violer",1, 0.00015
"pitié violenter",1, 0.00015
"pitié vieillir",1, 0.00015
"pitié vibrer",1, 0.00015
"pitié veiller",1, 0.00015
"pitié vanter",1, 0.00015
"pitié traiter",1, 0.00015
"pitié trahir",1, 0.00015
"pitié théâtraliser",1, 0.00015
"pitié tester",1, 0.00015
"pitié terroriser",1, 0.00015
"pitié terrifier",1, 0.00015
"pitié tenter",1, 0.00015
"pitié tempérer",1, 0.00015
"pitié tapir",1, 0.00015
"pitié sévir",1, 0.00015
"pitié séparer",1, 0.00015
"pitié suspendre",1, 0.00015
"pitié survivre",1, 0.00015
"pitié survenir",1, 0.00015
"pitié surveiller",1, 0.00015
"pitié surpasser",1, 0.00015
"pitié surgir",1, 0.00015
"pitié supprimer",1, 0.00015
"pitié supposer",1, 0.00015
"pitié superd",1, 0.00015
"pitié succéder",1, 0.00015
"pitié succèderait",1, 0.00015
"pitié subsister",1, 0.00015
"pitié submerger",1, 0.00015
"pitié stopper",1, 0.00015
"pitié srx",1, 0.00015
"pitié spammez",1, 0.00015
"pitié soyait",1, 0.00015
"pitié souvenir",1, 0.00015
"pitié sous-entendre",1, 0.00015
"pitié soumettre",1, 0.00015
"pitié sonder",1, 0.00015
"pitié soigner",1, 0.00015
"pitié sinsinua",1, 0.00015
"pitié simpose",1, 0.00015
"pitié simplifier",1, 0.00015
"pitié signaler",1, 0.00015
"pitié siffler",1, 0.00015
"pitié seoir",1, 0.00015
"pitié senorita",1, 0.00015
"pitié semer",1, 0.00015
"pitié secourir",1, 0.00015
"pitié salpé",1, 0.00015
"pitié saisir",1, 0.00015
"pitié saffrontaient",1, 0.00015
"pitié sacrer",1, 0.00015
"pitié saccompagne",1, 0.00015
"pitié résonner",1, 0.00015
"pitié répandre",1, 0.00015
"pitié réhabiliter",1, 0.00015
"pitié régner",1, 0.00015
"pitié régnent",1, 0.00015
"pitié réduire",1, 0.00015
"pitié risquer",1, 0.00015
"pitié retrouver",1, 0.00015
"pitié retraiter",1, 0.00015
"pitié retourner",1, 0.00015
"pitié retirer",1, 0.00015
"pitié restaurer",1, 0.00015
"pitié reproduire",1, 0.00015
"pitié repondez",1, 0.00015
"pitié rentrer",1, 0.00015
"pitié renoncer",1, 0.00015
"pitié rendormir",1, 0.00015
"pitié rencontrer",1, 0.00015
"pitié renaître",1, 0.00015
"pitié rejoindre",1, 0.00015
"pitié regrouper",1, 0.00015
"pitié refoutez",1, 0.00015
"pitié refléter",1, 0.00015
"pitié refaire",1, 0.00015
"pitié redonner",1, 0.00015
"pitié redimensionner",1, 0.00015
"pitié redevenir",1, 0.00015
"pitié rechercher",1, 0.00015
"pitié ranger",1, 0.00015
"pitié ramener",1, 0.00015
"pitié raller",1, 0.00015
"pitié ralentir",1, 0.00015
"pitié raisonner",1, 0.00015
"pitié raccrocher",1, 0.00015
"pitié rabougrir",1, 0.00015
"pitié qusa",1, 0.00015
"pitié quinspire",1, 0.00015
"pitié pétrir",1, 0.00015
"pitié purger",1, 0.00015
"pitié pulluler",1, 0.00015
"pitié publier",1, 0.00015
"pitié ptilu",1, 0.00015
"pitié présupposer",1, 0.00015
"pitié préparer",1, 0.00015
"pitié prouver",1, 0.00015
"pitié protéger",1, 0.00015
"pitié proposer",1, 0.00015
"pitié profiter",1, 0.00015
"pitié produire",1, 0.00015
"pitié proclamer",1, 0.00015
"pitié prenge",1, 0.00015
"pitié pourvoir",1, 0.00015
"pitié poster",1, 0.00015
"pitié plore",1, 0.00015
"pitié plora",1, 0.00015
"pitié pité",1, 0.00015
"pitié piquer",1, 0.00015
"pitié piller",1, 0.00015
"pitié perturber",1, 0.00015
"pitié perler",1, 0.00015
"pitié percer",1, 0.00015
"pitié pendre",1, 0.00015
"pitié peindre",1, 0.00015
"pitié participer",1, 0.00015
"pitié paraître",1, 0.00015
"pitié paralyser",1, 0.00015
"pitié ouvrir",1, 0.00015
"pitié ouai",1, 0.00015
"pitié organiser",1, 0.00015
"pitié orchestrer",1, 0.00015
"pitié opter",1, 0.00015
"pitié offusquer",1, 0.00015
"pitié obéir",1, 0.00015
"pitié observer",1, 0.00015
"pitié nourrir",1, 0.00015
"pitié noter",1, 0.00015
"pitié nexisterait",1, 0.00015
"pitié navrer",1, 0.00015
"pitié nallait",1, 0.00015
"pitié méconnaître",1, 0.00015
"pitié mutiler",1, 0.00015
"pitié mouiller",1, 0.00015
"pitié motiver",1, 0.00015
"pitié monter",1, 0.00015
"pitié monopoliser",1, 0.00015
"pitié modérer",1, 0.00015
"pitié minterdit",1, 0.00015
"pitié meure",1, 0.00015
"pitié mesire",1, 0.00015
"pitié menacer",1, 0.00015
"pitié mariner",1, 0.00015
"pitié livrer",1, 0.00015
"pitié liseuz",1, 0.00015
"pitié leila",1, 0.00015
"pitié labourer",1, 0.00015
"pitié kidnapper",1, 0.00015
"pitié jeter",1, 0.00015
"pitié jasper",1, 0.00015
"pitié jai",1, 0.00015
"pitié irriter",1, 0.00015
"pitié intégrer",1, 0.00015
"pitié intimider",1, 0.00015
"pitié installer",1, 0.00015
"pitié inscrire",1, 0.00015
"pitié informer",1, 0.00015
"pitié indiquer",1, 0.00015
"pitié inaugurer",1, 0.00015
"pitié impliquer",1, 0.00015
"pitié illustrer",1, 0.00015
"pitié hésiter",1, 0.00015
"pitié hériter",1, 0.00015
"pitié humilier",1, 0.00015
"pitié habiter",1, 0.00015
"pitié gober",1, 0.00015
"pitié garer",1, 0.00015
"pitié ganter",1, 0.00015
"pitié fusionner",1, 0.00015
"pitié fusiller",1, 0.00015
"pitié ft",1, 0.00015
"pitié foutre",1, 0.00015
"pitié fourmiller",1, 0.00015
"pitié fouler",1, 0.00015
"pitié forcer",1, 0.00015
"pitié footballfrance.fr",1, 0.00015
"pitié fondre",1, 0.00015
"pitié fonctionner",1, 0.00015
"pitié falloir",1, 0.00015
"pitié exterminer",1, 0.00015
"pitié explorer",1, 0.00015
"pitié exploiter",1, 0.00015
"pitié exonérer",1, 0.00015
"pitié exiger",1, 0.00015
"pitié exclure",1, 0.00015
"pitié exaucer",1, 0.00015
"pitié exagérer",1, 0.00015
"pitié exacerber",1, 0.00015
"pitié eviter",1, 0.00015
"pitié eteind",1, 0.00015
"pitié etc.",1, 0.00015
"pitié escompter",1, 0.00015
"pitié envahir",1, 0.00015
"pitié entrer",1, 0.00015
"pitié entraîner",1, 0.00015
"pitié entraver",1, 0.00015
"pitié engendrer",1, 0.00015
"pitié emprunter",1, 0.00015
"pitié empreindre",1, 0.00015
"pitié emmener",1, 0.00015
"pitié embaucher",1, 0.00015
"pitié effrayer",1, 0.00015
"pitié effleurer",1, 0.00015
"pitié effectuer",1, 0.00015
"pitié dévorer",1, 0.00015
"pitié dévaster",1, 0.00015
"pitié dévaluer",1, 0.00015
"pitié détruire",1, 0.00015
"pitié détendre",1, 0.00015
"pitié désoler",1, 0.00015
"pitié désintéresser",1, 0.00015
"pitié désintoxiquer",1, 0.00015
"pitié désigner",1, 0.00015
"pitié déployer",1, 0.00015
"pitié déplacer",1, 0.00015
"pitié dénoncer",1, 0.00015
"pitié définir",1, 0.00015
"pitié défier",1, 0.00015
"pitié déferler",1, 0.00015
"pitié dédaigner",1, 0.00015
"pitié décourager",1, 0.00015
"pitié déambuler",1, 0.00015
"pitié douïr",1, 0.00015
"pitié dominer",1, 0.00015
"pitié distribuer",1, 0.00015
"pitié dissoudre",1, 0.00015
"pitié disperser",1, 0.00015
"pitié diriger",1, 0.00015
"pitié diminuer",1, 0.00015
"pitié différencier",1, 0.00015
"pitié deviner",1, 0.00015
"pitié desserrer",1, 0.00015
"pitié descendre",1, 0.00015
"pitié d",1, 0.00015
"pitié céder",1, 0.00015
"pitié cumuler",1, 0.00015
"pitié croiser",1, 0.00015
"pitié crier",1, 0.00015
"pitié craindre",1, 0.00015
"pitié couronner",1, 0.00015
"pitié couler",1, 0.00015
"pitié coter",1, 0.00015
"pitié contrôler",1, 0.00015
"pitié contenir",1, 0.00015
"pitié construire",1, 0.00015
"pitié consoler",1, 0.00015
"pitié confirmer",1, 0.00015
"pitié comprendre",1, 0.00015
"pitié composer",1, 0.00015
"pitié comploter",1, 0.00015
"pitié compasser",1, 0.00015
"pitié combattre",1, 0.00015
"pitié collectionner",1, 0.00015
"pitié coincer",1, 0.00015
"pitié coffrer",1, 0.00015
"pitié cliquer",1, 0.00015
"pitié chérir",1, 0.00015
"pitié chloé",1, 0.00015
"pitié cheminer",1, 0.00015
"pitié chasser",1, 0.00015
"pitié cest",1, 0.00015
"pitié casser",1, 0.00015
