kwic,frequence,pourcentage
"respect devoir",2685, 0.39222
"respect être",1965, 0.28704
"respect avoir",548, 0.08005
"respect pouvoir",194, 0.02834
"respect vivre",187, 0.02732
"respect d",92, 0.01344
"respect mêler",88, 0.01285
"respect porter",87, 0.01271
"respect accorder",79, 0.01154
"respect sacrer",73, 0.01066
"respect permettre",64, 0.00935
"respect aller",62, 0.00906
"respect faire",59, 0.00862
"respect réciproquer",54, 0.00789
"respect accroître",52, 0.00760
"respect manifester",51, 0.00745
"respect conditionner",51, 0.00745
"respect passer",49, 0.00716
"respect qu",46, 0.00672
"respect desdites",44, 0.00643
"respect commencer",40, 0.00584
"respect constituer",39, 0.00570
"respect exiger",38, 0.00555
"respect impliquer",37, 0.00540
"respect partager",36, 0.00526
"respect venir",34, 0.00497
"respect obliger",32, 0.00467
"respect garantir",32, 0.00467
"respect témoigner",31, 0.00453
"respect assurer",31, 0.00453
"respect voir",30, 0.00438
"respect rester",27, 0.00394
"respect quant",26, 0.00380
"respect imposer",25, 0.00365
"respect croître",25, 0.00365
"respect afficher",23, 0.00336
"respect donner",22, 0.00321
"respect devenir",22, 0.00321
"respect vouloir",21, 0.00307
"respect mériter",21, 0.00307
"respect exagérer",21, 0.00307
"respect supposer",20, 0.00292
"respect consister",20, 0.00292
"respect montrer",19, 0.00278
"respect marquer",19, 0.00278
"respect lier",19, 0.00278
"respect entraîner",19, 0.00278
"respect signifier",18, 0.00263
"respect inspirer",18, 0.00263
"respect exister",18, 0.00263
"respect attendre",18, 0.00263
"respect rendre",17, 0.00248
"respect fonder",17, 0.00248
"respect dépendre",17, 0.00248
"respect demander",17, 0.00248
"respect apporter",17, 0.00248
"respect vouer",16, 0.00234
"respect sembler",16, 0.00234
"respect ca",16, 0.00234
"respect appeler",16, 0.00234
"respect étayer",14, 0.00205
"respect teinter",14, 0.00205
"respect régner",14, 0.00205
"respect prendre",14, 0.00205
"respect gagner",14, 0.00205
"respect savoir",13, 0.00190
"respect revenir",13, 0.00190
"respect requérir",13, 0.00190
"respect renouveler",13, 0.00190
"respect généraliser",13, 0.00190
"respect caractériser",13, 0.00190
"respect is",12, 0.00175
"respect exprimer",12, 0.00175
"respect desdits",12, 0.00175
"respect dela",12, 0.00175
"respect conduire",12, 0.00175
"respect approprier",12, 0.00175
"respect tenir",11, 0.00161
"respect forcer",11, 0.00161
"respect dire",11, 0.00161
"respect émouvoir",10, 0.00146
"respect tandis",10, 0.00146
"respect répéter",10, 0.00146
"respect reconnaître",10, 0.00146
"respect naître",10, 0.00146
"respect limiter",10, 0.00146
"respect grandir",10, 0.00146
"respect engendrer",10, 0.00146
"respect apparaître",10, 0.00146
"respect relever",9, 0.00131
"respect mettre",9, 0.00131
"respect adresser",9, 0.00131
"respect suivre",8, 0.00117
"respect respecter",8, 0.00117
