fierté,honte,respect,mépris,jalousie,pitié
10.9743,11.0998,12.0194,11.55093738945879,10.91652249134948,11.91074970249901
11.0,10.0,13.0,11.0,10.0,12
1,1,18,1,1,2
7.165503437302923,8.10313766142474,6.749875824042988,7.2957972554875266,7.287380927254037,7.541263420660668
51.34443951,65.66083996,45.56082364,53.22865759317932,53.105920778905904,56.87065397979464
10.422,10.614,11.4441,12.199681641315882,10.419982698961938,10.318127727092424
9.0,9.0,11.0,13.0,9.0,9
1,1,3,1,1,1
7.211512740056693,7.990932611404003,6.71427398830283,7.07391316818051,7.5825673314083275,7.864048653893867
52.005916,63.855004,45.08147519,50.04024751095762,57.49532733534081,61.84326123080995
24.3964,24.7148,26.4651,26.751680226388398,24.33780276816609,25.229274097580326
24.0,25.0,26.0,26.0,24.0,25
26,25,25,25,27,22
9.597138481860101,11.501663399700062,8.936855262898689,9.693565954397167,10.188113367827317,10.607293180274416
92.10506704000001,132.28826096,79.86738199,93.96522091224784,103.79765399570168,112.51466861229613
